Top Genes	ID	M	A	t	P.Value
17360	207923_x_at	-0.310282468	5.099743126	-3.093074451	0.007634056
14882	205434_s_at	0.378817501	8.198066041	3.093021979	0.007634864
43930	234680_at	-0.273374959	5.246766571	-3.092598348	0.007641396
52116	242866_x_at	-0.703517836	6.848458822	-3.088761128	0.007700813
54114	244863_at	-0.424762594	7.276876405	-3.088240326	0.007708913
42125	232871_at	-0.320754792	5.915050008	-3.086159194	0.007741362
29245	219960_s_at	0.254873974	4.190864648	3.086028844	0.007743399
38625	229370_at	-0.333004556	6.44006176	-3.083988607	0.007775351
48928	239678_at	0.562134397	4.894738659	3.081940147	0.007807562
29088	219803_at	-0.260676196	5.390790739	-3.081327467	0.007817221
22935	213634_s_at	-0.622279971	7.359059699	-3.081183049	0.0078195
23730	214430_at	0.270447115	6.502812803	3.080564001	0.007829275
51951	242701_at	-0.312844945	7.147530517	-3.077946536	0.007870739
47159	237909_at	-0.262281828	5.781505936	-3.077406819	0.007879316
33097	223820_at	-0.434434906	5.664851925	-3.076535155	0.007893187
10917	201468_s_at	0.259278464	8.104862218	3.075593265	0.007908203
35239	225982_at	-0.2774621	6.391340311	-3.075270525	0.007913354
40081	230826_at	-0.307724168	5.76402525	-3.074694305	0.007922561
20673	211333_s_at	-0.267789647	5.771003407	-3.073227042	0.00794605
51052	241802_x_at	-0.255271336	6.683384638	-3.07162877	0.007971716
27653	218367_x_at	0.359443797	6.611506042	3.070979332	0.007982168
6953	1562984_at	0.521148016	5.206447307	3.070652142	0.007987439
12549	203099_s_at	-0.388123841	6.223166305	-3.070230462	0.007994237
11307	201858_s_at	0.235551202	4.834679117	3.070139499	0.007995705
23066	213765_at	-0.35865408	4.39081721	-3.068566166	0.008021125
22151	212845_at	0.325342987	4.554249263	3.067399802	0.008040021
21051	211730_s_at	-0.449251493	6.144653414	-3.066781791	0.008050051
18781	209367_at	-0.355411754	6.65308628	-3.065719469	0.008067322
29972	220687_at	-0.44725448	5.843218048	-3.064690059	0.008084092
36231	226975_at	0.315495521	5.443281612	3.064089143	0.008093897
24567	215272_at	-0.325785644	5.195431035	-3.062767173	0.00811551
37958	228703_at	0.225597878	8.11429984	3.062195461	0.008124874
23244	213944_x_at	-0.430830539	6.160073707	-3.058982953	0.008177692
51698	242448_at	0.292166696	4.223496858	3.057727298	0.008198429
18649	209234_at	0.39292445	5.362219773	3.057013225	0.008210245
824	1553399_a_at	-0.629192894	5.998870609	-3.056123211	0.008224995
39613	230358_at	-0.305699407	6.870240341	-3.055750723	0.008231177
19259	209852_x_at	0.530303023	7.130304473	3.055122853	0.008241606
35203	225946_at	0.220130157	4.170016015	3.050821813	0.008313401
35175	225917_at	-0.345983935	6.756972024	-3.050214105	0.008323595
19792	210393_at	0.448528143	4.808888323	3.048973659	0.008344441
32406	223127_s_at	0.287658782	5.568243289	3.048558876	0.008351423
48320	239070_at	0.251637503	6.081167885	3.045616376	0.008401119
16029	206582_s_at	-0.278507247	7.15524958	-3.044347503	0.008422639
17207	207765_s_at	-0.393054908	6.238959317	-3.043066413	0.008444421
17010	207568_at	-0.389476375	6.761893786	-3.041398769	0.00847286
24365	215070_x_at	-0.315657611	7.778121556	-3.041223501	0.008475854
25216	215922_at	0.440518781	6.063058875	3.037935766	0.008532216
13230	203782_s_at	0.291520631	4.813354206	3.037483429	0.008539999
18581	209166_s_at	-0.357387902	7.202916019	-3.036630112	0.008554701
1339	1554115_at	0.511647575	7.332164293	3.036569896	0.00855574
34788	225530_at	0.322876885	5.795226319	3.034737584	0.008587397
12155	202706_s_at	-0.29041084	4.865213724	-3.034218828	0.008596381
