Study	Stem cell type	Gene list type	Entrez Gene	Gene name
Orwig	SSC	DGL	12266	C3
Orwig	SSC	DGL	12305	Ddr1
Orwig	SSC	DGL	12306	Anxa2
Orwig	SSC	DGL	12321	Calu
Orwig	SSC	DGL	12334	Capn2
Orwig	SSC	DGL	12338	Capn6
Orwig	SSC	DGL	12339	Capn7
Orwig	SSC	DGL	12343	Capza2
Orwig	SSC	DGL	12345	Capzb
Orwig	SSC	DGL	12359	Cat
Orwig	SSC	DGL	12361	Cask
Orwig	SSC	DGL	12368	Casp6
Orwig	SSC	DGL	12370	Casp8
Orwig	SSC	DGL	12371	Casp9
Orwig	SSC	DGL	12380	Cast
Orwig	SSC	DGL	12385	Ctnna1
Orwig	SSC	DGL	12386	Ctnna2
Orwig	SSC	DGL	12387	Ctnnb1
Orwig	SSC	DGL	12389	Cav1
Orwig	SSC	DGL	12396	Cbfa2t2
Orwig	SSC	DGL	12400	Cbfb
Orwig	SSC	DGL	12406	Serpinh1
Orwig	SSC	DGL	12418	Cbx4
Orwig	SSC	DGL	12450	Ccng1
Orwig	SSC	DGL	12452	Ccng2
Orwig	SSC	DGL	12476	Cd151
Orwig	SSC	DGL	12488	Cd2ap
Orwig	SSC	DGL	12490	Cd34
Orwig	SSC	DGL	12492	Scarb2
Orwig	SSC	DGL	12508	Cd53
Orwig	SSC	DGL	12509	Cd59a
Orwig	SSC	DGL	12512	Cd63
Orwig	SSC	DGL	12520	Cd81
Orwig	SSC	DGL	12522	Cd83
Orwig	SSC	DGL	12527	Cd9
Orwig	SSC	DGL	12540	Cdc42
Orwig	SSC	DGL	12558	Cdh2
Orwig	SSC	DGL	12562	Cdh5
Orwig	SSC	DGL	12567	Cdk4
Orwig	SSC	DGL	12568	Cdk5
Orwig	SSC	DGL	12575	Cdkn1a
Orwig	SSC	DGL	12576	Cdkn1b
Orwig	SSC	DGL	12579	Cdkn2b
Orwig	SSC	DGL	12583	Cdo1
Orwig	SSC	DGL	12608	Cebpb
Orwig	SSC	DGL	12609	Cebpd
Orwig	SSC	DGL	12632	Cfl2
Orwig	SSC	DGL	12648	Chd1
Orwig	SSC	DGL	12675	Chuk
Orwig	SSC	DGL	12683	Cidea
Orwig	SSC	DGL	12702	Socs3
Orwig	SSC	DGL	12705	Cited1
Orwig	SSC	DGL	12709	Ckb
Orwig	SSC	DGL	12722	Clca1
Orwig	SSC	DGL	12725	Clcn3
Orwig	SSC	DGL	12728	Clcn5
Orwig	SSC	DGL	12741	Cldn5
Orwig	SSC	DGL	12747	Clk1
Orwig	SSC	DGL	12751	Tpp1
Orwig	SSC	DGL	12753	Clock
Orwig	SSC	DGL	12757	Clta
Orwig	SSC	DGL	12759	Clu
Orwig	SSC	DGL	12764	Cmas
Orwig	SSC	DGL	12767	Cxcr4
Orwig	SSC	DGL	12778	Cxcr7
Orwig	SSC	DGL	12785	Cnbp
Orwig	SSC	DGL	12793	Cnih
Orwig	SSC	DGL	12822	Col18a1
Orwig	SSC	DGL	12826	Col4a1
Orwig	SSC	DGL	12827	Col4a2
Orwig	SSC	DGL	12833	Col6a1
Orwig	SSC	DGL	12834	Col6a2
Orwig	SSC	DGL	12842	Col1a1
Orwig	SSC	DGL	12843	Col1a2
Orwig	SSC	DGL	12846	Comt
Orwig	SSC	DGL	12848	Cops2
Orwig	SSC	DGL	12870	Cp
Orwig	SSC	DGL	12876	Cpe
Orwig	SSC	DGL	12894	Cpt1a
Orwig	SSC	DGL	12914	Crebbp
Orwig	SSC	DGL	12925	Crip1
Orwig	SSC	DGL	12946	Cr1l
Orwig	SSC	DGL	12970	Crygs
Orwig	SSC	DGL	12972	Cryz
Orwig	SSC	DGL	12978	Csf1r
Orwig	SSC	DGL	12995	Csnk2a1
Orwig	SSC	DGL	13007	Csrp1
Orwig	SSC	DGL	13013	Cst9
Orwig	SSC	DGL	13016	Ctbp1
Orwig	SSC	DGL	13026	Pcyt1a
Orwig	SSC	DGL	13030	Ctsb
