# Generate Mapping Tables Script: Version 4 11:04 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:04 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
unigene|Hs.109857|Hs.109857	hgnc_symbol|FAM129B|FAM129B
unigene|Hs.109798|Hs.109798	hgnc_symbol|C6orf48|C6orf48
unigene|Hs.107812|Hs.107812	hgnc_symbol|ABTB1|ABTB1
unigene|Hs.106283|Hs.106283	hgnc_symbol|KLHL9|KLHL9
unigene|Hs.106129|Hs.106129
unigene|Hs.103180|Hs.103180	hgnc_symbol|OSTC|OSTC
unigene|Hs.101514|Hs.101514	hgnc_symbol|AKIRIN2|AKIRIN2










































unigene|Hs.99853|Hs.99853	hgnc_symbol|FBL|FBL
unigene|Hs.99709|Hs.99709
unigene|Hs.9960|Hs.9960	hgnc_symbol|CCM2|CCM2
unigene|Hs.9911|Hs.9911	hgnc_symbol|C12orf44|C12orf44
unigene|Hs.98885|Hs.98885
