# Generate Mapping Tables Script: Version 4 11:03 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:03 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
affy_hg_u133_plus_2|212233_at|212233_at	unigene|Hs.637017|Hs.637017	hgnc_symbol|MAP1B|MAP1B
affy_hg_u133_plus_2|204729_s_at|204729_s_at	unigene|Hs.647024|Hs.647024	hgnc_symbol|STX1A|STX1A
affy_hg_u133_plus_2|210880_s_at|210880_s_at	unigene|Hs.24587|Hs.24587	hgnc_symbol|EFS|EFS
affy_hg_u133_plus_2|218149_s_at|218149_s_at	unigene|Hs.699209|Hs.699209	hgnc_symbol|ZNF395|ZNF395
affy_hg_u133_plus_2|228674_s_at|228674_s_at	unigene|Hs.593614|Hs.593614	hgnc_symbol|EML4|EML4
affy_hg_u133_plus_2|225942_at|225942_at	unigene|Hs.247460|Hs.247460	hgnc_symbol|NLN|NLN
affy_hg_u133_plus_2|214433_s_at|214433_s_at	unigene|Hs.632460|Hs.632460	hgnc_symbol|SELENBP1|SELENBP1
affy_hg_u133_plus_2|212838_at|212838_at	unigene|Hs.500771|Hs.500771	hgnc_symbol|DNMBP|DNMBP
affy_hg_u133_plus_2|204955_at|204955_at	unigene|Hs.15154|Hs.15154	hgnc_symbol|SRPX|SRPX
affy_hg_u133_plus_2|201205_at|201205_at	hgnc_symbol|RRBP1|RRBP1
affy_hg_u133_plus_2|206364_at|206364_at	unigene|Hs.3104|Hs.3104	hgnc_symbol|KIF14|KIF14
affy_hg_u133_plus_2|224627_at|224627_at	unigene|Hs.443134|Hs.443134	hgnc_symbol|GBA2|GBA2
affy_hg_u133_plus_2|223652_at|223652_at	unigene|Hs.709828|Hs.709828	hgnc_symbol|AS3MT|AS3MT
affy_hg_u133_plus_2|223307_at|223307_at	unigene|Hs.524216|Hs.524216	hgnc_symbol|CDCA3|CDCA3
affy_hg_u133_plus_2|212372_at|212372_at	unigene|Hs.16355|Hs.16355	hgnc_symbol|MYH10|MYH10
affy_hg_u133_plus_2|201087_at|201087_at	unigene|Hs.446336|Hs.446336	hgnc_symbol|PXN|PXN
affy_hg_u133_plus_2|226084_at|226084_at	unigene|Hs.637017|Hs.637017	hgnc_symbol|MAP1B|MAP1B
affy_hg_u133_plus_2|1553551_s_at|1553551_s_at	hgnc_symbol|ND2|ND2
affy_hg_u133_plus_2|227697_at|227697_at	unigene|Hs.527973|Hs.527973	hgnc_symbol|SOCS3|SOCS3
affy_hg_u133_plus_2|230100_x_at|230100_x_at	unigene|Hs.435714|Hs.435714	hgnc_symbol|PAK1|PAK1
affy_hg_u133_plus_2|219599_at|219599_at	unigene|Hs.648394|Hs.648394	hgnc_symbol|EIF4B|EIF4B
affy_hg_u133_plus_2|212801_at|212801_at	unigene|Hs.119594|Hs.119594	hgnc_symbol|CIT|CIT
affy_hg_u133_plus_2|220935_s_at|220935_s_at	unigene|Hs.269560|Hs.269560	hgnc_symbol|CDK5RAP2|CDK5RAP2
affy_hg_u133_plus_2|227530_at|227530_at	unigene|Hs.371240|Hs.371240	hgnc_symbol|AKAP12|AKAP12
affy_hg_u133_plus_2|205752_s_at|205752_s_at	unigene|Hs.75652|Hs.75652	hgnc_symbol|GSTM5|GSTM5
affy_hg_u133_plus_2|202954_at|202954_at	unigene|Hs.93002|Hs.93002	hgnc_symbol|UBE2C|UBE2C
affy_hg_u133_plus_2|204686_at|204686_at	unigene|Hs.471508|Hs.471508	hgnc_symbol|IRS1|IRS1
affy_hg_u133_plus_2|218899_s_at|218899_s_at	unigene|Hs.533446|Hs.533446	hgnc_symbol|BAALC|BAALC
affy_hg_u133_plus_2|204277_s_at|204277_s_at	unigene|Hs.512619|Hs.512619	hgnc_symbol|TK2|TK2
affy_hg_u133_plus_2|229044_at|229044_at	unigene|Hs.585066|Hs.585066	hgnc_symbol|NUDT17 (includes|NUDT17 (includes
affy_hg_u133_plus_2|218678_at|218678_at	unigene|Hs.527971|Hs.527971	hgnc_symbol|NES|NES
affy_hg_u133_plus_2|219138_at|219138_at	unigene|Hs.446522|Hs.446522	hgnc_symbol|RPL14|RPL14
affy_hg_u133_plus_2|233540_s_at|233540_s_at	unigene|Hs.269560|Hs.269560	hgnc_symbol|CDK5RAP2|CDK5RAP2
affy_hg_u133_plus_2|203633_at|203633_at	unigene|Hs.503043|Hs.503043	hgnc_symbol|CPT1A|CPT1A
affy_hg_u133_plus_2|203680_at|203680_at	unigene|Hs.433068|Hs.433068	hgnc_symbol|PRKAR2B|PRKAR2B
affy_hg_u133_plus_2|214001_x_at|214001_x_at	unigene|Hs.406620|Hs.406620	hgnc_symbol|RPS10|RPS10
affy_hg_u133_plus_2|1554408_a_at|1554408_a_at	unigene|Hs.515122|Hs.515122	hgnc_symbol|TK1|TK1
affy_hg_u133_plus_2|239218_at|239218_at	unigene|Hs.655694|Hs.655694	hgnc_symbol|PDE1C|PDE1C
affy_hg_u133_plus_2|218755_at|218755_at	unigene|Hs.73625|Hs.73625	hgnc_symbol|KIF20A|KIF20A
