# Generate Mapping Tables Script: Version 4 11:04 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:04 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
affy_hg_u133_plus_2|219878_s_at|219878_s_at	hgnc_symbol|KLF13|KLF13
affy_hg_u133_plus_2|223764_x_at|223764_x_at	hgnc_symbol|NIPSNAP3B|NIPSNAP3B
affy_hg_u133_plus_2|200779_at|200779_at	hgnc_symbol|ATF4|ATF4
affy_hg_u133_plus_2|238969_at|238969_at	hgnc_symbol|C3orf55|C3orf55
affy_hg_u133_plus_2|239913_at|239913_at	hgnc_symbol|SLC10A4|SLC10A4
affy_hg_u133_plus_2|228716_at|228716_at	hgnc_symbol|THRB|THRB
affy_hg_u133_plus_2|1560358_at|1560358_at	hgnc_symbol|PHKA2|PHKA2
affy_hg_u133_plus_2|241452_at|241452_at
affy_hg_u133_plus_2|64883_at|64883_at	hgnc_symbol|MOSPD2|MOSPD2
affy_hg_u133_plus_2|203861_s_at|203861_s_at	hgnc_symbol|ACTN2|ACTN2
affy_hg_u133_plus_2|221895_at|221895_at	hgnc_symbol|MOSPD2|MOSPD2
affy_hg_u133_plus_2|230650_at|230650_at
affy_hg_u133_plus_2|241694_at|241694_at	hgnc_symbol|PKHD1|PKHD1
affy_hg_u133_plus_2|1561037_a_at|1561037_a_at
affy_hg_u133_plus_2|208916_at|208916_at	hgnc_symbol|SLC1A5|SLC1A5
affy_hg_u133_plus_2|228700_at|228700_at
affy_hg_u133_plus_2|203809_s_at|203809_s_at	hgnc_symbol|AKT2|AKT2
affy_hg_u133_plus_2|222644_s_at|222644_s_at	hgnc_symbol|GLT25D1|GLT25D1
affy_hg_u133_plus_2|200802_at|200802_at	hgnc_symbol|SARS|SARS
