# Generate Mapping Tables Script: Version 4 11:04 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:04 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
affy_hg_u133_plus_2|226017_at|226017_at	hgnc_symbol|CMTM7|CMTM7
affy_hg_u133_plus_2|1555788_a_at|1555788_a_at	hgnc_symbol|TRIB3|TRIB3
affy_hg_u133_plus_2|208792_s_at|208792_s_at	hgnc_symbol|CLU|CLU
affy_hg_u133_plus_2|243309_at|243309_at
affy_hg_u133_plus_2|209524_at|209524_at
affy_hg_u133_plus_2|213030_s_at|213030_s_at	hgnc_symbol|PLXNA2|PLXNA2
affy_hg_u133_plus_2|225185_at|225185_at	hgnc_symbol|MRAS|MRAS
affy_hg_u133_plus_2|214179_s_at|214179_s_at	hgnc_symbol|NFE2L1|NFE2L1
affy_hg_u133_plus_2|202672_s_at|202672_s_at	hgnc_symbol|ATF3|ATF3
affy_hg_u133_plus_2|210744_s_at|210744_s_at	hgnc_symbol|IL5RA|IL5RA
affy_hg_u133_plus_2|226677_at|226677_at	hgnc_symbol|ZNF521|ZNF521
affy_hg_u133_plus_2|219532_at|219532_at	hgnc_symbol|ELOVL4|ELOVL4
affy_hg_u133_plus_2|205190_at|205190_at	hgnc_symbol|PLS1|PLS1
affy_hg_u133_plus_2|210715_s_at|210715_s_at	hgnc_symbol|SPINT2|SPINT2
affy_hg_u133_plus_2|205749_at|205749_at	hgnc_symbol|CYP1A1|CYP1A1
affy_hg_u133_plus_2|221156_x_at|221156_x_at	hgnc_symbol|CCPG1|CCPG1
affy_hg_u133_plus_2|220059_at|220059_at	hgnc_symbol|STAP1|STAP1
affy_hg_u133_plus_2|222890_at|222890_at	hgnc_symbol|CCDC113|CCDC113
affy_hg_u133_plus_2|206765_at|206765_at	hgnc_symbol|KCNJ2|KCNJ2
affy_hg_u133_plus_2|202887_s_at|202887_s_at	hgnc_symbol|DDIT4|DDIT4
affy_hg_u133_plus_2|201694_s_at|201694_s_at	hgnc_symbol|EGR1|EGR1
affy_hg_u133_plus_2|208006_at|208006_at	hgnc_symbol|FOXI1|FOXI1
affy_hg_u133_plus_2|1556181_at|1556181_at
affy_hg_u133_plus_2|212233_at|212233_at	hgnc_symbol|MAP1B|MAP1B
affy_hg_u133_plus_2|203438_at|203438_at	hgnc_symbol|STC2|STC2
affy_hg_u133_plus_2|212850_s_at|212850_s_at	hgnc_symbol|LRP4|LRP4
affy_hg_u133_plus_2|219695_at|219695_at	hgnc_symbol|SMPD3|SMPD3
affy_hg_u133_plus_2|202847_at|202847_at	hgnc_symbol|PCK2|PCK2
affy_hg_u133_plus_2|209295_at|209295_at	hgnc_symbol|TNFRSF10B|TNFRSF10B
affy_hg_u133_plus_2|223136_at|223136_at	hgnc_symbol|AIG1|AIG1
affy_hg_u133_plus_2|227889_at|227889_at	hgnc_symbol|LPCAT2|LPCAT2
affy_hg_u133_plus_2|207723_s_at|207723_s_at	hgnc_symbol|KLRC3|KLRC3
affy_hg_u133_plus_2|228051_at|228051_at
affy_hg_u133_plus_2|219263_at|219263_at	hgnc_symbol|RNF128|RNF128
affy_hg_u133_plus_2|225354_s_at|225354_s_at	hgnc_symbol|SH3BGRL2|SH3BGRL2
affy_hg_u133_plus_2|1556182_x_at|1556182_x_at
affy_hg_u133_plus_2|225450_at|225450_at	hgnc_symbol|AMOTL1|AMOTL1
affy_hg_u133_plus_2|230051_at|230051_at	hgnc_symbol|PROSER2|PROSER2
affy_hg_u133_plus_2|204588_s_at|204588_s_at	hgnc_symbol|SLC7A7|SLC7A7
affy_hg_u133_plus_2|205047_s_at|205047_s_at	hgnc_symbol|ASNS|ASNS
affy_hg_u133_plus_2|228080_at|228080_at	hgnc_symbol|LAYN|LAYN
affy_hg_u133_plus_2|201195_s_at|201195_s_at	hgnc_symbol|SLC7A5|SLC7A5
affy_hg_u133_plus_2|216944_s_at|216944_s_at	hgnc_symbol|ITPR1|ITPR1
affy_hg_u133_plus_2|232271_at|232271_at	hgnc_symbol|HNF4G|HNF4G
affy_hg_u133_plus_2|228090_at|228090_at	hgnc_symbol|NMNAT3|NMNAT3
affy_hg_u133_plus_2|224733_at|224733_at	hgnc_symbol|CMTM3|CMTM3
affy_hg_u133_plus_2|210020_x_at|210020_x_at	hgnc_symbol|CALML3|CALML3
affy_hg_u133_plus_2|213506_at|213506_at	hgnc_symbol|F2RL1|F2RL1
affy_hg_u133_plus_2|220520_s_at|220520_s_at	hgnc_symbol|NUP62CL|NUP62CL
affy_hg_u133_plus_2|201462_at|201462_at	hgnc_symbol|SCRN1|SCRN1
affy_hg_u133_plus_2|207245_at|207245_at	hgnc_symbol|UGT2B17|UGT2B17
affy_hg_u133_plus_2|212667_at|212667_at	hgnc_symbol|SPARC|SPARC
affy_hg_u133_plus_2|207307_at|207307_at	hgnc_symbol|HTR2C|HTR2C
affy_hg_u133_plus_2|239169_at|239169_at	hgnc_symbol|RDM1|RDM1
affy_hg_u133_plus_2|201842_s_at|201842_s_at	hgnc_symbol|EFEMP1|EFEMP1
affy_hg_u133_plus_2|204529_s_at|204529_s_at	hgnc_symbol|TOX|TOX
affy_hg_u133_plus_2|204848_x_at|204848_x_at
affy_hg_u133_plus_2|236285_at|236285_at	hgnc_symbol|KLHDC7B|KLHDC7B
affy_hg_u133_plus_2|218764_at|218764_at	hgnc_symbol|PRKCH|PRKCH
affy_hg_u133_plus_2|229555_at|229555_at	hgnc_symbol|GALNT5|GALNT5
affy_hg_u133_plus_2|232023_at|232023_at	hgnc_symbol|TMEM67|TMEM67
affy_hg_u133_plus_2|224823_at|224823_at	hgnc_symbol|MYLK|MYLK
affy_hg_u133_plus_2|227134_at|227134_at	hgnc_symbol|SYTL1|SYTL1
affy_hg_u133_plus_2|202481_at|202481_at	hgnc_symbol|DHRS3|DHRS3
affy_hg_u133_plus_2|211425_x_at|211425_x_at
affy_hg_u133_plus_2|209591_s_at|209591_s_at	hgnc_symbol|BMP7|BMP7
affy_hg_u133_plus_2|205551_at|205551_at	hgnc_symbol|SV2B|SV2B
affy_hg_u133_plus_2|209691_s_at|209691_s_at	hgnc_symbol|DOK4|DOK4
affy_hg_u133_plus_2|203417_at|203417_at	hgnc_symbol|MFAP2|MFAP2
affy_hg_u133_plus_2|230673_at|230673_at	hgnc_symbol|PKHD1L1|PKHD1L1
affy_hg_u133_plus_2|1007_s_at|1007_s_at	hgnc_symbol|DDR1|DDR1
affy_hg_u133_plus_2|202826_at|202826_at	hgnc_symbol|SPINT1|SPINT1
affy_hg_u133_plus_2|202812_at|202812_at	hgnc_symbol|GAA|GAA
affy_hg_u133_plus_2|226043_at|226043_at	hgnc_symbol|GPSM1|GPSM1
affy_hg_u133_plus_2|207426_s_at|207426_s_at	hgnc_symbol|TNFSF4|TNFSF4
affy_hg_u133_plus_2|1560396_at|1560396_at	hgnc_symbol|KLHL6|KLHL6
affy_hg_u133_plus_2|239319_at|239319_at
affy_hg_u133_plus_2|201397_at|201397_at	hgnc_symbol|PHGDH|PHGDH
affy_hg_u133_plus_2|225871_at|225871_at	hgnc_symbol|STEAP2|STEAP2
affy_hg_u133_plus_2|201416_at|201416_at	hgnc_symbol|SOX4|SOX4
affy_hg_u133_plus_2|209631_s_at|209631_s_at	hgnc_symbol|GPR37|GPR37
affy_hg_u133_plus_2|205826_at|205826_at	hgnc_symbol|MYOM2|MYOM2
affy_hg_u133_plus_2|218870_at|218870_at	hgnc_symbol|ARHGAP15|ARHGAP15
affy_hg_u133_plus_2|209716_at|209716_at	hgnc_symbol|CSF1|CSF1
affy_hg_u133_plus_2|223575_at|223575_at	hgnc_symbol|KIAA1549|KIAA1549
affy_hg_u133_plus_2|210058_at|210058_at	hgnc_symbol|MAPK13|MAPK13
affy_hg_u133_plus_2|218182_s_at|218182_s_at	hgnc_symbol|CLDN1|CLDN1
affy_hg_u133_plus_2|227443_at|227443_at	hgnc_symbol|LURAP1L|LURAP1L
affy_hg_u133_plus_2|202974_at|202974_at	hgnc_symbol|MPP1|MPP1
affy_hg_u133_plus_2|207808_s_at|207808_s_at	hgnc_symbol|PROS1|PROS1
affy_hg_u133_plus_2|236203_at|236203_at	hgnc_symbol|HLA-DQA1|HLA-DQA1
affy_hg_u133_plus_2|226364_at|226364_at	hgnc_symbol|HIP1|HIP1
affy_hg_u133_plus_2|213547_at|213547_at	hgnc_symbol|CAND2|CAND2
affy_hg_u133_plus_2|228787_s_at|228787_s_at	hgnc_symbol|BCAS4|BCAS4
affy_hg_u133_plus_2|208146_s_at|208146_s_at	hgnc_symbol|CPVL|CPVL
affy_hg_u133_plus_2|202524_s_at|202524_s_at	hgnc_symbol|SPOCK2|SPOCK2
affy_hg_u133_plus_2|220246_at|220246_at	hgnc_symbol|CAMK1D|CAMK1D
affy_hg_u133_plus_2|208886_at|208886_at	hgnc_symbol|H1F0|H1F0
