# Generate Mapping Tables Script: Version 4 11:06 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:06 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
entrezgene|23677|23677	hgnc_symbol|SH3BP4|SH3BP4
entrezgene|150094|150094	hgnc_symbol|SIK1|SIK1
entrezgene|220963|220963	hgnc_symbol|SLC16A9|SLC16A9
entrezgene|63027|63027	hgnc_symbol|SLC22A23|SLC22A23
entrezgene|2030|2030	hgnc_symbol|SLC29A1|SLC29A1
entrezgene|6513|6513	hgnc_symbol|SLC2A1|SLC2A1
entrezgene|64116|64116	hgnc_symbol|SLC39A8|SLC39A8
entrezgene|6578|6578	hgnc_symbol|SLCO2A1|SLCO2A1
entrezgene|9353|9353	hgnc_symbol|SLIT2|SLIT2
entrezgene|139065|139065	hgnc_symbol|SLITRK4|SLITRK4
entrezgene|92017|92017	hgnc_symbol|SNX29|SNX29
entrezgene|6658|6658	hgnc_symbol|SOX3|SOX3
entrezgene|84501|84501	hgnc_symbol|SPIRE2|SPIRE2
entrezgene|81848|81848	hgnc_symbol|SPRY4|SPRY4
entrezgene|6744|6744	hgnc_symbol|SSFA2|SSFA2
entrezgene|6482|6482	hgnc_symbol|ST3GAL1|ST3GAL1
entrezgene|8614|8614	hgnc_symbol|STC2|STC2
entrezgene|6840|6840	hgnc_symbol|SVIL|SVIL
entrezgene|94121|94121	hgnc_symbol|SYTL4|SYTL4
entrezgene|6867|6867	hgnc_symbol|TACC1|TACC1
entrezgene|56165|56165	hgnc_symbol|TDRD1|TDRD1
entrezgene|7031|7031	hgnc_symbol|TFF1|TFF1
entrezgene|7045|7045	hgnc_symbol|TGFBI|TGFBI
entrezgene|9392|9392	hgnc_symbol|TGFBRAP1|TGFBRAP1
entrezgene|7072|7072	hgnc_symbol|TIA1|TIA1
entrezgene|4071|4071	hgnc_symbol|TM4SF1|TM4SF1
entrezgene|10972|10972	hgnc_symbol|TMED10|TMED10
entrezgene|169200|169200	hgnc_symbol|TMEM64|TMEM64
entrezgene|4982|4982	hgnc_symbol|TNFRSF11B|TNFRSF11B
entrezgene|51330|51330	hgnc_symbol|TNFRSF12A|TNFRSF12A
entrezgene|64759|64759	hgnc_symbol|TNS3|TNS3
entrezgene|146691|146691	hgnc_symbol|TOM1L2|TOM1L2
entrezgene|7150|7150	hgnc_symbol|TOP1|TOP1
entrezgene|7164|7164	hgnc_symbol|TPD52L1|TPD52L1
entrezgene|1831|1831	hgnc_symbol|TSC22D3|TSC22D3
entrezgene|7286|7286	hgnc_symbol|TUFT1|TUFT1
entrezgene|51366|51366	hgnc_symbol|UBR5|UBR5
entrezgene|201294|201294	hgnc_symbol|UNC13D|UNC13D
entrezgene|9100|9100	hgnc_symbol|USP10|USP10
entrezgene|10791|10791	hgnc_symbol|VAMP5|VAMP5
entrezgene|114990|114990	hgnc_symbol|VASN|VASN
entrezgene|79679|79679	hgnc_symbol|VTCN1|VTCN1
entrezgene|7450|7450	hgnc_symbol|VWF|VWF
entrezgene|8839|8839	hgnc_symbol|WISP2|WISP2
entrezgene|7480|7480	hgnc_symbol|WNT10B|WNT10B
entrezgene|11060|11060	hgnc_symbol|WWP2|WWP2
entrezgene|7494|7494	hgnc_symbol|XBP1|XBP1
entrezgene|7520|7520	hgnc_symbol|XRCC5|XRCC5
entrezgene|55596|55596	hgnc_symbol|ZCCHC8|ZCCHC8
entrezgene|64397|64397	hgnc_symbol|ZFP106|ZFP106
entrezgene|22891|22891	hgnc_symbol|ZNF365|ZNF365
