Probe ID	Entrez ID	Gene Symbol	FC	P Value	FDR
ovtEinu7lcR4Uq.sAU	144455	E2F7	-1.831	4.29E-07	2.20E-05
upeWHh7uk6JOnvVQuQ	6621	SNAPC4	-1.832	7.46E-06	0.00017749
oKnieZ_bp79OFn7.3U	3710	ITPR3	-1.8321	0.00011921	0.0013351
uYHfegrR0oEV1eXuQI	56241	SUSD2	-1.8418	3.29E-06	9.75E-05
imS5fkxUBSuom.74k4	994	CDC25B	-1.8425	9.45E-07	3.99E-05
lokghwIgYonhSjeYYU	10460	TACC3	-1.8447	3.17E-07	1.81E-05
ffS4gHlfEBLV93ntDU	51497	TH1L	-1.8471	8.10E-07	3.55E-05
HSwH2FNVICI5XT0n9I	23590	PDSS1	-1.8503	1.83E-08	2.31E-06
cXl3juDSlTwIber_CU	10570	DPYSL4	-1.8511	1.85E-06	6.50E-05
9e1epSSoXeCX3_6X.8	2280	FKBP1A	-1.8537	0.0002593	0.002392
l1KHvzJ76Chyt9XJVU	672	BRCA1	-1.8617	8.94E-09	1.52E-06
WsVSpceUVn1798tg7w	4846	NOS3	-1.8629	4.59E-06	0.0001239
QckkeqEoOHrV_KK24Q	283643	C14orf80	-1.8634	3.76E-06	0.00010666
0p6J6iK54nBLlBC518	56997	CABC1	-1.8656	1.15E-05	0.00023899
3Z6l7r4jC0UnGgr94Y	54892	NCAPG2	-1.8674	3.29E-07	1.83E-05
x7leKemno5ulDACSFw	64423	INF2	-1.8688	9.54E-05	0.001134
QRV6COgMBeburou8oU	9123	SLC16A3	-1.8719	7.60E-07	3.42E-05
Nnp0VyCVB1B3lH9xCQ	55771	PRR11	-1.8826	6.21E-08	5.51E-06
EAFkjpF1bdI1IASUqU	157313	CDCA2	-1.8838	1.38E-07	9.98E-06
BSeoXozSTRkQVCZACU	9493	KIF23	-1.8843	6.28E-06	0.00015639
Hl_fyRKzglIJSTdB7k	64425	POLR1E	-1.8855	6.86E-08	5.80E-06
B91yrztS_q.8KSRIeU	7374	UNG	-1.8857	2.92E-08	3.32E-06
NRHqnl.d4d7fVQtKqc	116844	LRG1	-1.8862	3.29E-06	9.75E-05
lpfPUeeqPju6iRnxxc	6648	SOD2	-1.8875	4.75E-05	0.0006654
3oeDevdd_xFXQVzkl4	6839	SUV39H1	-1.8877	6.54E-07	3.01E-05
iSnjux8FH1I.MS317o	3070	HELLS	-1.8882	3.09E-06	9.34E-05
Eq9eKetRQvn3iGX2fc	730185	LOC730185	-1.8891	1.36E-06	5.18E-05
ll_l77fVc.3tUnTW7c	28988	DBNL	-1.8909	2.84E-08	3.26E-06
xiqEanT5ruZXkd7V0c	3329	HSPD1	-1.894	4.83E-08	4.65E-06
rS4tdXpNduAuREfToo	8208	CHAF1B	-1.8978	1.22E-08	1.76E-06
TRPIdFYoP8ASXM5UqU	55635	DEPDC1	-1.8981	4.60E-05	0.00065108
lo7qXyXUrUhxx3O91I	24137	KIF4A	-1.8996	3.50E-08	3.78E-06
ZWm_wXShfV_ygSX92A	80324	PUS1	-1.9037	1.21E-07	9.10E-06
BslSRJ9.skdYOv6Fuk	995	CDC25C	-1.9072	2.74E-08	3.19E-06
WbrbqLsSlFVQrggeC8	2091	FBL	-1.9099	1.50E-05	0.0002871
N_flnpOXig7P6f48RE	64332	NFKBIZ	-1.9125	1.25E-07	9.31E-06
rOezhdXiRW4eVTn9V8	5905	RANGAP1	-1.9199	5.60E-05	0.00075749
EnrersnfIoKIyoAqnU	8438	RAD54L	-1.9204	1.28E-06	5.01E-05
Nr1NDriRSXg5IJnUs0	1434	CSE1L	-1.9272	0.00012796	0.0014061
Z16HriPrrKXuA.lcvE	2189	FANCG	-1.9289	5.92E-07	2.79E-05
BWrEjdJLkyYoIT4WeY	23464	GCAT	-1.9343	1.95E-06	6.77E-05
fue9R36dSSFR7VIAl4	55226	NAT10	-1.935	1.01E-05	0.00021894
ognEUXgHSS0XTfJeCg	151648	SGOL1	-1.9397	9.42E-09	1.54E-06
lRA1XkJz0Drjoxn6T0	259266	ASPM	-1.9487	3.62E-06	0.00010308
c1ILCUnujVlR0gCmII	23649	POLA2	-1.95	2.96E-07	1.72E-05
Kbi2l5Tv1O5T98Vfso	81691	LOC81691	-1.9524	1.72E-07	1.19E-05
xKf56fuaTXnW3kr7n0	521	ATP5I	-1.9579	0.0010713	0.0070605
fRrtH9Tq9Lzea0FGt4	23729	SHPK	-1.958	4.08E-07	2.13E-05
BU6gOUeyttjF3p4KPk	7112	TMPO	-1.9592	0.00065114	0.0048073
Ey6v5_K6wp.noV75KQ	6240	RRM1	-1.972	2.95E-09	7.40E-07
Z0hYgkq4iPcGHo55yw	57568	SIPA1L2	-1.9751	3.39E-07	1.86E-05
iFenouojznUse.1Gno	5557	PRIM1	-1.9815	6.12E-08	5.50E-06
He6I5Uo.h2pfIH_TJI	4860	NP	-1.9889	6.83E-06	0.00016622
9jpCddAlL7AMrVeXrE	26271	FBXO5	-1.9891	1.99E-09	6.07E-07
BiXUgqHpd5URfh9LP0	81620	CDT1	-1.9898	5.73E-08	5.24E-06
fIlLXtp6lfoae0v_RM	83605	CCM2	-1.9898	3.17E-07	1.81E-05
cSU3eS93S5KS99d0p4	8458	TTF2	-1.9976	5.93E-06	0.00015025
ZS4J4QDQLpUqLt657k	3615	IMPDH2	-1.9979	3.84E-07	2.03E-05
x1o13.jeVKAqOT4R3U	147381	CBLN2	-1.9985	5.75E-07	2.73E-05
ie.vTY8kgi1KEBn7mI	387103	C6orf173	-2.0128	8.02E-07	3.54E-05
fieOjriigofChJO3qg	1515	CTSL2	-2.0175	2.93E-07	1.71E-05
KMrUN53QpfrXrqPX0U	27242	TNFRSF21	-2.0176	2.44E-06	7.84E-05
ZqbssL7IKdiqG6Hz_U	10276	NET1	-2.032	4.47E-05	0.00063818
WVSu6rJC7n1tCMUz3U	93664	CADPS2	-2.0323	1.02E-05	0.00022159
0eL0eWt7fWJ5ve1_04	9088	PKMYT1	-2.0347	2.87E-05	0.00046125
HXfUJXm1JibRJEF5AA	84823	LMNB2	-2.0372	1.79E-06	6.39E-05
N9.k8l01_J0l3miAoI	27178	IL1F7	-2.0404	1.97E-07	1.29E-05
ousTrv7pfp4Tgnvu4o	1786	DNMT1	-2.0404	5.98E-05	0.0007964
9Vj517sCOX7bkgEDp4	6427	SFRS2	-2.0455	6.87E-10	2.86E-07
0nhUk0lEd6voA7_Xvo	3433	IFIT2	-2.0457	3.30E-05	0.00051197
ol40F46yMTxEksX7qU	284098	PIGW	-2.047	5.35E-05	0.00073039
fn1IPzBE4lVACWoekk	6001	RGS10	-2.0496	3.68E-05	0.00055393
f6fRp6c7oSQi2.2aCU	3014	H2AFX	-2.0572	0.0014839	0.0089611
u6Cgk67uIS7e9.7lJ0	6860	SYT4	-2.0601	0.00032687	0.0028543
6JFXS9e5dJUSlHuMOs	771	CA12	-2.0763	1.79E-07	1.22E-05
NlJfXQg5SEuhIgk5CE	29089	UBE2T	-2.0842	3.01E-05	0.00047898
uUov4NTXqSTHiFeX8A	330	BIRC3	-2.0845	0.00018172	0.0018246
T6VFBWVF_HlVILu34g	124935	SLC43A2	-2.0862	6.71E-06	0.00016405
0n3xe5qJgAnqfQTpK0	50628	GEMIN4	-2.0919	3.62E-05	0.00054728
Z1eixqCnieiPSAhleg	353	APRT	-2.0968	0.0004769	0.0038012
rXg2T3ceh3pefoiukk	84722	PSRC1	-2.1038	8.10E-08	6.56E-06
KSCOCREoFw6lB6jiuE	10625	IVNS1ABP	-2.1056	5.78E-06	0.00014842
BUp.XnUXiMFB1dWw0o	6470	SHMT1	-2.1058	5.80E-07	2.74E-05
0nunX1weqf34Tsr5_s	9134	CCNE2	-2.1223	3.16E-05	0.0004947
Zn56RLL8V7ze79MOqk	9928	KIF14	-2.1398	7.22E-07	3.28E-05
9WJGeyrOoIFSRRwwJ4	11332	ACOT7	-2.1654	6.51E-09	1.27E-06
W7DzRUiKvaSpAt6CnU	580	BARD1	-2.1684	8.04E-06	0.00018817
lPneje9fpLodICUE7o	3936	LCP1	-2.1713	7.98E-05	0.00098931
9p5TpSicLl._7kFHxU	3898	LAD1	-2.1841	5.92E-07	2.79E-05
Tp9JH1.ru.XtUuC_gU	4175	MCM6	-2.1842	1.07E-06	4.38E-05
u2q4gVCb6B7IVte2Hs	899	CCNF	-2.1863	3.29E-06	9.75E-05
K63vX_n936K6tkkUjo	8914	TIMELESS	-2.1871	5.23E-08	4.98E-06
ukoevq3qjc6TUIS4R0	8638	OASL	-2.191	1.62E-05	0.00030175
xV_RxOmE0HoiIodqt8	29902	C12orf24	-2.1912	9.44E-06	0.00020933
0tLSQHUQKdfgvboKew	5983	RFC3	-2.1919	2.14E-06	7.15E-05
irShFNehxEdZiuhGtw	4521	NUDT1	-2.1941	9.07E-07	3.87E-05
34lG83aZ6.WLFnge6s	3049	HBQ1	-2.2049	0.00017711	0.0017906
ltfqsEqFEhV0UdEj10	54795	TRPM4	-2.2123	3.04E-08	3.44E-06
3aVeAhBJ1f3n2hFHQE	116028	C16orf75	-2.2345	5.15E-07	2.54E-05
BH7oTTo_3BFNEtXp0o	2177	FANCD2	-2.235	1.12E-08	1.67E-06
9V8od6z.43pBTP3oL4	3832	KIF11	-2.2444	6.82E-09	1.30E-06
N4OCV6LHOJqV4h6eeE	3434	IFIT1	-2.2489	2.64E-07	1.57E-05
ujaFNp3qg164My55zs	1111	CHEK1	-2.2489	1.84E-07	1.23E-05
WlF1W79QtJ.XkIIDXo	2305	FOXM1	-2.2523	3.66E-08	3.89E-06
0lKn23BEASUtrHyUXg	29899	GPSM2	-2.2612	1.70E-06	6.18E-05
0cCok79EunocWIn6HE	23671	TMEFF2	-2.2646	1.17E-08	1.72E-06
ltXOeFUMfkiuPemlX4	629	CFB	-2.2686	4.31E-08	4.35E-06
rkHTgfpT3_rOoT13jU	4316	MMP7	-2.2764	1.04E-05	0.00022362
iEf0jCK7_eo6CBxek4	55010	C12orf48	-2.299	2.04E-06	6.93E-05
TVeFqDk3E0yCWdQhLk	81832	NETO1	-2.3159	6.79E-08	5.78E-06
cUiuQDkokiLuj3SUrU	1062	CENPE	-2.3182	4.15E-08	4.26E-06
0ofRQkgMVokZTUQrnk	4174	MCM5	-2.319	1.76E-07	1.21E-05
fXQ4KtUJW1W99UWM.U	10535	RNASEH2A	-2.3196	1.78E-05	0.00032287
iqkxJTFPeCu3zdd43I	6288	SAA1	-2.3348	1.45E-05	0.00028062
lazqZV5PnqO.eVGv_8	9319	TRIP13	-2.3602	1.66E-08	2.15E-06
9r8Uo7LVHviiTc.Krw	10051	SMC4	-2.3739	3.31E-05	0.00051297
f0gC47oTKKQ7uIfqr0	54443	ANLN	-2.379	2.88E-06	8.88E-05
ioJIoIo4AO5S4n4tfo	10403	NDC80	-2.3926	6.15E-09	1.23E-06
lS3DCed5V_50i6O86g	7057	THBS1	-2.4084	1.64E-06	6.03E-05
xWRvd5Vv35VLuv5Pt0	3925	STMN1	-2.4096	1.02E-08	1.58E-06
3.0uJuuHkivLnuAJ6k	26047	CNTNAP2	-2.4129	2.67E-09	7.03E-07
BSXeHuXs3VA91HY9R4	22974	TPX2	-2.4152	4.60E-09	9.83E-07
WVUs_yJC37vAJUu4S4	3184	HNRNPD	-2.4201	1.73E-08	2.21E-06
9q1S_vuSkou33NLzF0	10733	PLK4	-2.4319	2.63E-07	1.57E-05
NH1MoTHk7CULTog3nk	891	CCNB1	-2.4325	9.25E-09	1.52E-06
Z95JJ6aHY50CKHmXWI	79019	CENPM	-2.4549	3.60E-06	0.00010265
6h9R5TXVCqVA9.S6cU	3627	CXCL10	-2.4634	3.32E-06	9.81E-05
B6W5CfKeqPejkG38QU	8756	ADAM7	-2.468	1.81E-07	1.22E-05
riguY2oF1zMfW.l2a8	6173	RPL36A	-2.4737	4.47E-06	0.0001216
0uPXSkHX_e4enOF_aI	84058	WDR54	-2.4746	6.10E-06	0.0001528
BAZH7.TkomqQsK_JeE	5985	RFC5	-2.4818	1.32E-08	1.89E-06
9pY7gGgiYFKckAif30	84057	MND1	-2.4853	1.02E-08	1.58E-06
ioJTIPnetAFCRFMl8E	51514	DTL	-2.5116	1.86E-07	1.24E-05
Klpg2693.XX6e3gjI0	6229	RPS24	-2.5137	2.04E-06	6.93E-05
EkeagF7l1IR51e4D3g	9735	KNTC1	-2.5182	1.09E-06	4.43E-05
fSqP6p.fgIS1CV6MOc	6137	RPL13	-2.5203	2.15E-06	7.15E-05
xX56r6K.R_RNOir8uc	6364	CCL20	-2.531	1.25E-05	0.00025201
lWP3EEcSJHv5NVNdCE	55329	MNS1	-2.5494	1.07E-09	3.85E-07
0tEvV.P0TCVAeMhLBo	10512	SEMA3C	-2.5505	0.00039151	0.0032668
cYOko5Xu.T1L6955VU	10024	TROAP	-2.5914	1.40E-07	1.00E-05
E1pvvhXP1bnkWSVf3c	6159	RPL29	-2.5931	3.90E-07	2.05E-05
ES97kTH.Qx1WGgiQq4	79682	MLF1IP	-2.5974	2.45E-08	2.89E-06
QVVAPNLnef8tG7P9PE	590	BCHE	-2.6269	2.66E-06	8.37E-05
uOq6EEW0haiFKknfRI	55355	HJURP	-2.628	3.56E-10	1.88E-07
up7nZVehL4n_jzfXfQ	51313	C4orf18	-2.6352	0.0001243	0.0013784
3f6sV8hd49wtA5A6vA	55789	DEPDC1B	-2.6736	5.18E-07	2.54E-05
Tme.WXfl9oZaP_G53Y	6201	RPS7	-2.6764	5.07E-07	2.54E-05
liCOpICeiVei_nu3u8	2237	FEN1	-2.6793	9.82E-10	3.70E-07
lKKIuwl4K3.yCn10.o	699	BUB1	-2.6866	1.03E-08	1.58E-06
QXnojsD_U4fXooSSTo	11130	ZWINT	-2.6891	2.27E-10	1.56E-07
fUXqCpLud7qp5DQwOU	1468	SLC25A10	-2.6951	5.36E-08	5.04E-06
x4v3t.fk3QIpa5XYWU	51083	GAL	-2.7011	0.00019093	0.0018966
fnXrfiO33bwosqX.oo	7037	TFRC	-2.7127	1.72E-05	0.0003143
9eebDoPl_ITUgjUFYM	64105	CENPK	-2.7461	5.69E-08	5.23E-06
3S3ZjB5kpmhQJjd94o	6209	RPS15	-2.7755	3.51E-05	0.00053592
HuvglUkCgOiCsiiOUQ	23594	ORC6L	-2.7857	4.53E-09	9.83E-07
Knknb10Xk4iCDgiPSI	10874	NMU	-2.7908	8.32E-08	6.64E-06
uUlHrBT33HezlTitD4	9585	KIF20B	-2.795	3.60E-07	1.94E-05
BI90n1UokIXeJWUJmk	4176	MCM7	-2.7971	8.22E-09	1.48E-06
Wg57u3taRVrKXj6v3I	6790	AURKA	-2.8115	2.07E-10	1.56E-07
oZYzd5auHJ59f3d2Zk	6227	RPS21	-2.8165	1.33E-05	0.00026745
BepQfvreD3XB1P_Ank	7272	TTK	-2.817	1.78E-07	1.22E-05
lKR6E10bovRKdNLg94	55055	ZWILCH	-2.8421	1.43E-06	5.38E-05
Z_vKOUXQgeweInSC4k	55215	FANCI	-2.8703	2.04E-07	1.31E-05
ooKJT36B6GH3gB6KGI	83461	CDCA3	-2.8871	8.40E-09	1.48E-06
NRBiFzZZNtCuhcC9Vk	9212	AURKB	-2.9025	1.03E-07	8.02E-06
lLkJVIh77K_f.fXXqQ	150468	CKAP2L	-2.9027	4.12E-09	9.18E-07
Teq_16d6oiIaJfyxJw	11004	KIF2C	-2.918	3.77E-09	8.90E-07
WdiMSf.ks66vr.rsE0	6491	STIL	-2.9458	8.13E-08	6.56E-06
3ZI6Kh14TJSee4DDoI	1033	CDKN3	-2.9914	1.81E-07	1.22E-05
TXm4UjVovoAQ4ApVQo	4609	MYC	-3.0089	2.69E-10	1.64E-07
o7h_frpdPU7uXuXqk4	55143	CDCA8	-3.0314	5.02E-10	2.27E-07
3ieeV36bi_bPSnn.nk	4171	MCM2	-3.0385	9.66E-09	1.56E-06
oS1fLl397_6TriAFTk	10721	POLQ	-3.0618	9.85E-08	7.71E-06
xp6k.U0zIXeV9Isl0U	1058	CENPA	-3.0671	4.03E-10	1.99E-07
0nu9VB3veZGASze.ik	55165	CEP55	-3.0714	8.07E-10	3.19E-07
fW4rBRfA6ioL6rt5.o	1735	DIO3	-3.0974	2.30E-09	6.45E-07
EA6JXik0nPMfqHcXdE	28969	BZW2	-3.105	1.43E-09	4.53E-07
0p.q69Q_uiIJ3ikbTk	4172	MCM3	-3.107	8.96E-09	1.52E-06
uR6JSuH11_bi4qRKDc	25886	WDR51A	-3.1261	3.83E-10	1.95E-07
ortS6TUiAkXzi6CD_g	8836	GGH	-3.1524	2.23E-09	6.45E-07
finSkqVEpJY937nj8A	27111	SDCBP2	-3.1628	5.30E-08	5.02E-06
HfpVTFVBftS6JUH3Ao	29127	RACGAP1	-3.2199	9.19E-10	3.54E-07
TWl6.Zetu384kU7CXU	1870	E2F2	-3.2386	1.10E-09	3.86E-07
9d5S3L96kr9e7Sz1V0	83879	CDCA7	-3.2659	3.39E-10	1.88E-07
QL7MM5_wKeKuJ7N6OU	55388	MCM10	-3.2763	1.22E-10	1.21E-07
Wpt9ozfdFzvV6cILSI	11013	TMSL8	-3.2991	3.27E-06	9.75E-05
ipUX0u7gHYLn60Xg_8	220042	C11orf82	-3.335	7.15E-09	1.35E-06
i13nKFKuP0JSoJB6hU	55723	ASF1B	-3.428	2.37E-09	6.45E-07
igFXtVLSIwTUHB1IJo	9156	EXO1	-3.4504	1.26E-09	4.23E-07
ECgp1eTtefnkZROrus	4173	MCM4	-3.4598	3.96E-09	9.07E-07
QLR0VHu.euUKd_KlUc	54478	FAM64A	-3.5465	3.49E-08	3.78E-06
NjXGdGm9V.HQN6l.6Q	10112	KIF20A	-3.5909	9.20E-09	1.52E-06
Wc5Ts7lH3iLLA4d.nE	1894	ECT2	-3.6663	2.52E-07	1.52E-05
NLdHHg5Rffj0UrcB5I	9787	DLGAP5	-3.6698	2.17E-08	2.62E-06
9UEi3Ker08Tj04lIFE	1164	CKS2	-3.6748	1.92E-07	1.27E-05
HLhL9JyhgSiu0h54JY	64151	NCAPG	-3.7159	1.95E-08	2.39E-06
fgbdYtXQd3Gf5dQrgU	3833	KIFC1	-3.718	2.30E-11	4.05E-08
6W70h16.fUp8S6E00k	81610	FAM83D	-3.7349	9.65E-11	1.02E-07
NeHlSg0ILnuCnfmo6U	5266	PI3	-3.7496	3.55E-07	1.92E-05
cUuKnkp9ciu5zFObe0	1063	CENPF	-3.7604	1.35E-08	1.89E-06
TqCLahRL88UPeKC1l8	4085	MAD2L1	-3.766	3.85E-09	8.96E-07
ogf9RSSoFUIk1DIJ7k	4001	LMNB1	-3.8527	4.54E-09	9.83E-07
irp0SIKOkjrklBDnhY	51659	GINS2	-3.9118	1.66E-08	2.15E-06
9Ff619hplIXH7nOK6I	9582	APOBEC3B	-3.9312	1.39E-09	4.53E-07
rjki1Tu13jcC_Tr63g	11339	OIP5	-3.9815	3.45E-09	8.39E-07
6e.BIM4nt7T8XH39Uc	4751	NEK2	-4.0823	4.40E-10	2.11E-07
xX7dOhfRSFxdAkUSTk	890	CCNA2	-4.118	6.59E-11	8.02E-08
6yzOVwBtKpkd7On2mk	8364	HIST1H4C	-4.1278	1.10E-06	4.48E-05
Th3rxI_343fo3XSN.o	55872	PBK	-4.18	2.97E-11	4.70E-08
QkXgJ9dhN7wwJbKV_0	332	BIRC5	-4.2828	2.10E-09	6.27E-07
WUTbfV7VDYUuzYaeLk	3934	LCN2	-4.432	5.15E-07	2.54E-05
iTtHHqiu9edyfUY4pk	9055	PRC1	-4.6675	2.30E-12	1.21E-08
lV.9_MUdNRu9ePtRP0	10635	RAD51AP1	-4.7318	7.15E-12	2.20E-08
Hu16j3eVXeLIu_6jAo	6241	RRM2	-5.0411	9.93E-09	1.58E-06
Z46PfU15aOLuruMSXE	9833	MELK	-5.1273	5.03E-12	1.99E-08
N4TSXn31Xeaf0eeL94	7083	TK1	-5.2777	7.51E-09	1.40E-06
rUvfXhFo6ufqBb_JfM	29128	UHRF1	-5.3777	3.46E-10	1.88E-07
BngJ4o2iQv3oZHz9XU	8318	CDC45L	-5.4009	8.35E-12	2.20E-08
o.fSL_0zHn7TeTtx0k	3161	HMMR	-5.8373	1.01E-09	3.71E-07
ZqR1Qw4LulILoN.Eoc	983	CDC2	-6.2034	1.37E-10	1.27E-07
rSTjV0ngdAJbQIX5dU	9133	CCNB2	-6.6197	1.39E-12	1.10E-08
clyu1_J4FkeCB37XR4	113130	CDCA5	-6.8961	2.09E-11	4.05E-08
x.Sd_F7Vd6eXeLeDdU	7153	TOP2A	-7.8024	4.54E-13	7.18E-09
HClLklAJJdNRQpNZ4I	991	CDC20	-7.9479	1.46E-10	1.29E-07
iKKgVb_bmVB1QukAKA	9768	KIAA0101	-8.3168	1.66E-10	1.39E-07
ccp.nyzTtTv19F0uic	51203	NUSAP1	-9.799	1.76E-10	1.39E-07
