Affy-ID	gene	chromosomal locus	expression with respect to all cases	expression with respect to cases with -7 and normal
232265_at	KIAA1218	7q22.1	present at least in one case	present at least in one case
217014_s_at	AZGP1	7q22.1	present at least in one case	present at least in one case
222228_s_at	FLJ20013	7q22.1	present at least in one case	present at least in one case
219812_at	MGC2463	7q22.1	present at least in one case	present at least in one case
235231_at	LOC285989	7q22.1	present at least in one case	present at least in one case
205381_at	P37NB	7q22.1	present at least in one case	present at least in one case
202403_s_at	COL1A2	7q22.1	present at least in one case	present at least in one case
211212_s_at	ORC5L	7q22.1	present at least in one case	present at least in one case
220692_at	HSPC047	7q22.1	present at least in one case	present at least in one case
209635_at	AP1S1	7q22.1	present at least in one case	present at least in one case
212684_at	ZNF3	7q22.1	present at least in one case	present at least in one case
223424_s_at	ZNF38	7q22.1	present at least in one case	present at least in one case
225680_at	DKFZp434K1815	7q22.1	present at least in one case	present at least in one case
222742_s_at	FLJ14117	7q22.1	present at least in one case	present at least in one case
222615_s_at	FLJ13902	7q22.1	present at least in one case	present at least in one case
231876_at	TRIM56	7q22.1	present at least in one case	present at least in one case
227732_at	KIAA1218	7q22.1	present at least in one case	present at least in one case
218598_at	FLJ11785	7q22.1	present at least in one case	present at least in one case
202290_at	PDAP1	7q22.1	present at least in one case	present at least in one case
218378_s_at	FLJ13902	7q22.1	present at least in one case	present at least in one case
227313_at	MGC40499	7q22.1	present at least in one case	present at least in one case
218812_s_at	CBCIP2	7q22.1	present at least in one case	present at least in one case
242621_at	FLJ32468	7q22.1	present at least in one case	present at least in one case
218984_at	FLJ20485	7q22.1	present at least in one case	present at least in one case
204957_at	ORC5L	7q22.1	present at least in one case	present at least in one case
220954_s_at	PILR	7q22.1	present at least in one case	present at least in one case
201541_s_at	CG1I	7q22.1	present at least in one case	present at least in one case
243024_at	LOC285989	7q22.1	present at least in one case	present at least in one case
203311_s_at	ARF6	7q22.1	present at least in one case	present at least in one case
226100_at	MLL5	7q22.1	present at least in one case	present at least in one case
214182_at	ARF6	7q22.1	present at least in one case	present at least in one case
213504_at	COPS6	7q22.1	present at least in one case	present at least in one case
219798_s_at	FLJ20257	7q22.1	present at least in one case	present at least in one case
203572_s_at	TAF6	7q22.1	present at least in one case	present at least in one case
223328_at	MGC3195	7q22.1	present at least in one case	present at least in one case
226434_at	MGC22793	7q22.1	present at least in one case	present at least in one case
206688_s_at	CPSF4	7q22.1	present at least in one case	present at least in one case
223189_x_at	MLL5	7q22.1	present at least in one case	present at least in one case
243296_at	PBEF	7q22.1	present at least in one case	present at least in one case
200950_at	ARPC1A	7q22.1	present at least in one case	present at least in one case
218034_at	CGI-135	7q22.1	present at least in one case	present at least in one case
201405_s_at	COPS6	7q22.1	present at least in one case	present at least in one case
224788_at	ARF6	7q22.1	present at least in one case	present at least in one case
223190_s_at	MLL5	7q22.1	present at least in one case	present at least in one case
225321_s_at	PILR	7q22.1	present at least in one case	present at least in one case
217738_at	PBEF	7q22.1	present at least in one case	present at least in one case
201260_s_at	SYPL	7q22.1	present at least in one case	present at least in one case
201259_s_at	SYPL	7q22.1	present at least in one case	present at least in one case
205690_s_at	G10	7q22.1	present at least in one case	present at least in one case
214714_at	FLJ12298	7q22.1	present at least in one case	present at least in one case
203312_x_at	ARF6	7q22.1	present at least in one case	present at least in one case
202961_s_at	ATP5J2	7q22.1	present at least in one case	present at least in one case
217739_s_at	PBEF	7q22.1	present at least in one case	present at least in one case
201954_at	ARPC1B	7q22.1	present at least in one case	present at least in one case
202404_s_at	COL1A2	7q22.1	absent in all cases	absent in all cases
205195_at	AP1S1	7q22.1	absent in all cases	absent in all cases
205196_s_at	AP1S1	7q22.1	absent in all cases	absent in all cases
206820_at	RAB-R	7q22.1	absent in all cases	absent in all cases
206821_x_at	RAB-R	7q22.1	absent in all cases	absent in all cases
209309_at	AZGP1	7q22.1	absent in all cases	absent in all cases
214342_at	MGC33190	7q22.1	absent in all cases	absent in all cases
214343_s_at	MGC33190	7q22.1	absent in all cases	absent in all cases
215815_at	KIAA0632	7q22.1	absent in all cases	absent in all cases
217624_at	ARPC1B	7q22.1	absent in all cases	absent in all cases
218811_at	CBCIP2	7q22.1	absent in all cases	absent in all cases
219604_s_at	ZNF3	7q22.1	absent in all cases	absent in all cases
219605_at	ZNF3	7q22.1	absent in all cases	absent in all cases
220618_s_at	FLJ10057	7q22.1	absent in all cases	absent in all cases
220870_at	PRO1598	7q22.1	absent in all cases	absent in all cases
221660_at	LOC93408	7q22.1	absent in all cases	absent in all cases
223992_x_at	FLJ10057	7q22.1	absent in all cases	absent in all cases
229218_at	COL1A2	7q22.1	absent in all cases	absent in all cases
230347_at	CBCIP2	7q22.1	absent in all cases	absent in all cases
232497_at	ZNF38	7q22.1	absent in all cases	absent in all cases
233894_x_at	COL26A1	7q22.1	absent in all cases	absent in all cases
236182_at	MGC35361	7q22.1	absent in all cases	absent in all cases
238426_at	DKFZp761L1417	7q22.1	absent in all cases	absent in all cases
211213_at	ORC5L	7q22.1	present at least in one case	absent in all cases
238020_at	PSMC2	7q22.1-q22.3	present at least in one case	present at least in one case
201067_at	PSMC2	7q22.1-q22.3	present at least in one case	present at least in one case
201068_s_at	PSMC2	7q22.1-q22.3	present at least in one case	present at least in one case
240062_at	FAM3C	7q22.1-q31.1	present at least in one case	present at least in one case
201889_at	FAM3C	7q22.1-q31.1	present at least in one case	present at least in one case
241640_at	BAP29	7q22.2	present at least in one case	present at least in one case
206370_at	PIK3CG	7q22.2	present at least in one case	present at least in one case
228753_at	HAKAI	7q22.2	present at least in one case	present at least in one case
206369_s_at	PIK3CG	7q22.2	present at least in one case	present at least in one case
236970_s_at	BAP29	7q22.2	present at least in one case	present at least in one case
241646_s_at	BAP29	7q22.2	present at least in one case	present at least in one case
227187_at	HAKAI	7q22.2	present at least in one case	present at least in one case
230150_at	BAP29	7q22.2	present at least in one case	present at least in one case
205084_at	BAP29	7q22.2	present at least in one case	present at least in one case
220018_at	HAKAI	7q22.2	present at least in one case	present at least in one case
225677_at	BAP29	7q22.2	present at least in one case	present at least in one case
225674_at	BAP29	7q22.2	present at least in one case	present at least in one case
229521_at	FLJ36031	7q22.2	present at least in one case	present at least in one case
227883_at	FLJ36031	7q22.2	absent in all cases	absent in all cases
228668_x_at	FLJ36031	7q22.2	absent in all cases	absent in all cases
202146_at	IFRD1	7q22-q31	present at least in one case	present at least in one case
202147_s_at	IFRD1	7q22-q31	present at least in one case	present at least in one case
208534_s_at	CAPRI	7q22-q31.1	present at least in one case	absent in all cases
238552_at	SRPK2	7q22-q31.1	present at least in one case	present at least in one case
230091_at	SRPK2	7q22-q31.1	present at least in one case	present at least in one case
214931_s_at	SRPK2	7q22-q31.1	present at least in one case	present at least in one case
203182_s_at	SRPK2	7q22-q31.1	present at least in one case	present at least in one case
212706_at	CAPRI	7q22-q31.1	present at least in one case	present at least in one case
203181_x_at	SRPK2	7q22-q31.1	present at least in one case	present at least in one case
223384_s_at	TRIM4	7q22-q31.1	present at least in one case	present at least in one case
208540_x_at	S100A11P	7q22-q31.1	present at least in one case	present at least in one case
224159_x_at	TRIM4	7q22-q31.1	present at least in one case	present at least in one case
203680_at	PRKAR2B	7q22-q31.1	present at least in one case	present at least in one case
221288_at	GPR22	7q22-q31.1	absent in all cases	absent in all cases
230173_at	TRIM4	7q22-q31.1	absent in all cases	absent in all cases
216622_at	LAMB4	7q22-q31.2	present at least in one case	present at least in one case
244534_at	ZRF1	7q22-q32	present at least in one case	present at least in one case
213097_s_at	ZRF1	7q22-q32	present at least in one case	present at least in one case
201682_at	PMPCB	7q22-q32	present at least in one case	present at least in one case
210867_at	CNOT4	7q22-qter	present at least in one case	present at least in one case
210203_at	CNOT4	7q22-qter	present at least in one case	present at least in one case
210204_s_at	CNOT4	7q22-qter	present at least in one case	present at least in one case
203291_at	CNOT4	7q22-qter	present at least in one case	present at least in one case
210866_s_at	CNOT4	7q22-qter	absent in all cases	absent in all cases
213807_x_at	MET	7q31	present at least in one case	absent in all cases
223552_at	NAG14	7q31	present at least in one case	absent in all cases
224022_x_at	WNT16	7q31	present at least in one case	present at least in one case
206112_at	ANKRD7	7q31	present at least in one case	present at least in one case
221113_s_at	WNT16	7q31	present at least in one case	present at least in one case
207103_at	KCND2	7q31	present at least in one case	present at least in one case
219898_at	GPR85	7q31	present at least in one case	present at least in one case
234303_s_at	GPR85	7q31	present at least in one case	present at least in one case
203510_at	MET	7q31	present at least in one case	present at least in one case
206529_x_at	SLC26A4	7q31	present at least in one case	present at least in one case
213816_s_at	MET	7q31	present at least in one case	present at least in one case
240528_s_at	SEC8	7q31	present at least in one case	present at least in one case
211599_x_at	MET	7q31	present at least in one case	present at least in one case
227153_at	IMMP2L	7q31	present at least in one case	present at least in one case
202843_at	DNAJB9	7q31	present at least in one case	present at least in one case
203629_s_at	COG5	7q31	present at least in one case	present at least in one case
242293_at	ING3	7q31	present at least in one case	present at least in one case
205070_at	ING3	7q31	present at least in one case	present at least in one case
203630_s_at	COG5	7q31	present at least in one case	present at least in one case
224926_at	SEC8	7q31	present at least in one case	present at least in one case
231863_at	ING3	7q31	present at least in one case	present at least in one case
223309_x_at	IPLA2	7q31	present at least in one case	present at least in one case
223310_x_at	IPLA2	7q31	present at least in one case	present at least in one case
223982_s_at	IPLA2	7q31	present at least in one case	present at least in one case
202842_s_at	DNAJB9	7q31	present at least in one case	present at least in one case
205648_at	WNT2	7q31	absent in all cases	absent in all cases
206143_at	SLC26A3	7q31	absent in all cases	absent in all cases
210109_at	NSG-X	7q31	absent in all cases	absent in all cases
214586_at	GPR37	7q31	absent in all cases	absent in all cases
239172_x_at	HIC	7q31.1	present at least in one case	present at least in one case
213426_s_at	CAV2	7q31.1	present at least in one case	present at least in one case
215887_at	ZNF277	7q31.1	present at least in one case	present at least in one case
217599_s_at	HIC	7q31.1	present at least in one case	present at least in one case
203065_s_at	CAV1	7q31.1	present at least in one case	present at least in one case
227089_at	HBP1	7q31.1	present at least in one case	present at least in one case
207361_at	HBP1	7q31.1	present at least in one case	present at least in one case
212097_at	CAV1	7q31.1	present at least in one case	present at least in one case
203324_s_at	CAV2	7q31.1	present at least in one case	present at least in one case
228149_at	FLJ31818	7q31.1	present at least in one case	present at least in one case
218645_at	ZNF277	7q31.1	present at least in one case	present at least in one case
211675_s_at	HIC	7q31.1	present at least in one case	present at least in one case
209102_s_at	HBP1	7q31.1	present at least in one case	present at least in one case
206895_at	PPP1R3A	7q31.1	absent in all cases	absent in all cases
211169_s_at	PPP1R3A	7q31.1	absent in all cases	absent in all cases
204105_s_at	NRCAM	7q31.1-q31.2	present at least in one case	present at least in one case
216959_x_at	NRCAM	7q31.1-q31.2	present at least in one case	present at least in one case
221444_at	TAS2R16	7q31.1-q31.3	present at least in one case	present at least in one case
207871_s_at	ST7	7q31.1-q31.3	present at least in one case	present at least in one case
235470_at	LSM8	7q31.1-q31.3	present at least in one case	present at least in one case
207524_at	ST7	7q31.1-q31.3	present at least in one case	present at least in one case
219119_at	LSM8	7q31.1-q31.3	present at least in one case	present at least in one case
218219_s_at	LANCL2	7q31.1-q31.33	present at least in one case	present at least in one case
222561_at	LANCL2	7q31.1-q31.33	present at least in one case	present at least in one case
222560_at	LANCL2	7q31.1-q31.33	absent in all cases	absent in all cases
215703_at	CFTR	7q31.2	present at least in one case	absent in all cases
234702_x_at	CFTR	7q31.2	present at least in one case	present at least in one case
215702_s_at	CFTR	7q31.2	present at least in one case	present at least in one case
202719_s_at	TES	7q31.2	present at least in one case	present at least in one case
206715_at	TFEC	7q31.2	present at least in one case	present at least in one case
202720_at	TES	7q31.2	present at least in one case	present at least in one case
205043_at	CFTR	7q31.2	absent in all cases	absent in all cases
234706_x_at	CFTR	7q31.2	absent in all cases	absent in all cases
201237_at	CAPZA2	7q31.2-q31.3	present at least in one case	present at least in one case
201238_s_at	CAPZA2	7q31.2-q31.3	present at least in one case	present at least in one case
210852_s_at	AASS	7q31.3	present at least in one case	present at least in one case
214829_at	AASS	7q31.3	present at least in one case	present at least in one case
204469_at	PTPRZ1	7q31.3	present at least in one case	present at least in one case
205809_s_at	WASL	7q31.3	present at least in one case	present at least in one case
230340_s_at	WASL	7q31.3	present at least in one case	present at least in one case
216989_at	SPAM1	7q31.3	present at least in one case	present at least in one case
224813_at	WASL	7q31.3	present at least in one case	present at least in one case
201526_at	ARF5	7q31.3	present at least in one case	present at least in one case
201622_at	p100	7q31.3	present at least in one case	present at least in one case
205810_s_at	WASL	7q31.3	absent in all cases	absent in all cases
207092_at	LEP	7q31.3	absent in all cases	absent in all cases
210536_s_at	SPAM1	7q31.3	absent in all cases	absent in all cases
220249_at	HYAL4	7q31.3	absent in all cases	absent in all cases
220379_at	FSCN3	7q31.3	absent in all cases	absent in all cases
228728_at	FLJ21986	7q31.31	present at least in one case	present at least in one case
230626_at	NET-2	7q31.31	present at least in one case	present at least in one case
220032_at	FLJ21986	7q31.31	present at least in one case	present at least in one case
219274_at	NET-2	7q31.31	absent in all cases	absent in all cases
230625_s_at	NET-2	7q31.31	absent in all cases	absent in all cases
219572_at	FLJ20761	7q31.32	present at least in one case	present at least in one case
234726_s_at	FLJ13576	7q31.32	present at least in one case	present at least in one case
218962_s_at	FLJ13576	7q31.32	present at least in one case	present at least in one case
231373_at	LOC168433	7q31.32	absent in all cases	absent in all cases
204353_s_at	POT1	7q31.33	present at least in one case	present at least in one case
204354_at	POT1	7q31.33	present at least in one case	present at least in one case
221392_at	TAS2R4	7q31.3-q32	present at least in one case	absent in all cases
204169_at	IMPDH1	7q31.3-q32	present at least in one case	present at least in one case
208036_at	OPN1SW	7q31.3-q32	absent in all cases	absent in all cases
221456_at	TAS2R3	7q31.3-q32	absent in all cases	absent in all cases
231757_at	TAS2R5	7q31.3-q32	absent in all cases	absent in all cases
216256_at	GRM8	7q31.3-q32.1	present at least in one case	present at least in one case
216255_s_at	GRM8	7q31.3-q32.1	absent in all cases	absent in all cases
216992_s_at	GRM8	7q31.3-q32.1	absent in all cases	absent in all cases
220503_at	SLC13A1	7q31-q32	present at least in one case	present at least in one case
220502_s_at	SLC13A1	7q31-q32	present at least in one case	present at least in one case
204115_at	GNG11	7q31-q32	present at least in one case	present at least in one case
230426_at	DLD	7q31-q32	present at least in one case	present at least in one case
209095_at	DLD	7q31-q32	present at least in one case	present at least in one case
203502_at	BPGM	7q31-q34	present at least in one case	present at least in one case
218907_s_at	MGC3036	7q31-q35	present at least in one case	present at least in one case
221330_at	CHRM2	7q31-q35	absent in all cases	absent in all cases
220899_at	COPG2	7q32	present at least in one case	present at least in one case
211280_s_at	NRF1	7q32	present at least in one case	present at least in one case
200756_x_at	CALU	7q32	present at least in one case	present at least in one case
215850_s_at	NDUFA5	7q32	present at least in one case	present at least in one case
226637_at	UBE2H	7q32	present at least in one case	present at least in one case
211279_at	NRF1	7q32	present at least in one case	present at least in one case
207867_at	PAX4	7q32	present at least in one case	present at least in one case
226681_at	UBE2H	7q32	present at least in one case	present at least in one case
204652_s_at	NRF1	7q32	present at least in one case	present at least in one case
213490_s_at	MAP2K2	7q32	present at least in one case	present at least in one case
214845_s_at	CALU	7q32	present at least in one case	present at least in one case
200755_s_at	CALU	7q32	present at least in one case	present at least in one case
204423_at	MKLN1	7q32	present at least in one case	present at least in one case
221962_s_at	UBE2H	7q32	present at least in one case	present at least in one case
205832_at	CPA4	7q32	present at least in one case	present at least in one case
225485_at	TSGA14	7q32	present at least in one case	present at least in one case
206212_at	CPA2	7q32	present at least in one case	present at least in one case
217799_x_at	UBE2H	7q32	present at least in one case	present at least in one case
223457_at	COPG2	7q32	present at least in one case	present at least in one case
229549_at	CALU	7q32	present at least in one case	present at least in one case
225484_at	TSGA14	7q32	present at least in one case	present at least in one case
222421_at	UBE2H	7q32	present at least in one case	present at least in one case
205469_s_at	IRF5	7q32	present at least in one case	present at least in one case
239412_at	IRF5	7q32	present at least in one case	present at least in one case
200757_s_at	CALU	7q32	present at least in one case	present at least in one case
222420_s_at	UBE2H	7q32	present at least in one case	present at least in one case
201304_at	NDUFA5	7q32	present at least in one case	present at least in one case
202424_at	MAP2K2	7q32	present at least in one case	present at least in one case
201527_at	ATP6V1F	7q32	present at least in one case	present at least in one case
202016_at	MEST	7q32	present at least in one case	present at least in one case
200808_s_at	ZYX	7q32	present at least in one case	present at least in one case
215706_x_at	ZYX	7q32	present at least in one case	present at least in one case
205468_s_at	IRF5	7q32	absent in all cases	absent in all cases
205615_at	CPA1	7q32	absent in all cases	absent in all cases
211176_s_at	PAX4	7q32	absent in all cases	absent in all cases
211601_at	CATR1	7q32	absent in all cases	absent in all cases
213487_at	MAP2K2	7q32	absent in all cases	absent in all cases
222419_x_at	UBE2H	7q32	absent in all cases	absent in all cases
227950_at	UBE2H	7q32	absent in all cases	absent in all cases
240744_at	CPA5	7q32	absent in all cases	absent in all cases
227104_x_at	LOC168850	7q32.1	present at least in one case	present at least in one case
218912_at	GCC1	7q32.1	present at least in one case	present at least in one case
227101_at	LOC168850	7q32.1	present at least in one case	present at least in one case
227097_at	LOC168850	7q32.1	absent in all cases	absent in all cases
243306_s_at	GCC1	7q32.1	absent in all cases	absent in all cases
243437_at	GCC1	7q32.1	absent in all cases	absent in all cases
215672_s_at	KIAA0828	7q32.2	present at least in one case	present at least in one case
209256_s_at	KIAA0265	7q32.2	present at least in one case	present at least in one case
236214_at	NYD-SP18	7q32.2	present at least in one case	present at least in one case
221079_s_at	METTL2	7q32.2	present at least in one case	present at least in one case
231880_at	KIAA1170	7q32.2	present at least in one case	present at least in one case
209254_at	KIAA0265	7q32.2	present at least in one case	present at least in one case
225253_s_at	METTL2	7q32.2	present at least in one case	present at least in one case
212814_at	KIAA0828	7q32.2	present at least in one case	present at least in one case
231844_at	MGC27345	7q32.2	present at least in one case	present at least in one case
209255_at	KIAA0265	7q32.2	present at least in one case	present at least in one case
214550_s_at	TRN-SR	7q32.2	present at least in one case	present at least in one case
218593_at	FLJ10377	7q32.2	present at least in one case	present at least in one case
223163_s_at	HSPC216	7q32.2	present at least in one case	present at least in one case
212317_at	TRN-SR	7q32.2	present at least in one case	present at least in one case
210111_s_at	KIAA0265	7q32.2	present at least in one case	present at least in one case
212318_at	TRN-SR	7q32.2	present at least in one case	present at least in one case
218507_at	HIG2	7q32.2	present at least in one case	present at least in one case
231466_at	NYD-SP18	7q32.2	absent in all cases	absent in all cases
242746_at	KIAA0265	7q32.2	absent in all cases	absent in all cases
222267_at	FLJ14803	7q32.3	present at least in one case	present at least in one case
232317_at	KIAA1550	7q32.3	present at least in one case	present at least in one case
235158_at	FLJ14803	7q32.3	present at least in one case	present at least in one case
217972_at	FLJ20420	7q32.3	present at least in one case	present at least in one case
218629_at	SMO	7q32.3	absent in all cases	absent in all cases
234859_at	DKFZp434G0625	7q32.3	absent in all cases	absent in all cases
206806_at	DGKI	7q32.3-q33	present at least in one case	present at least in one case
201578_at	PODXL	7q32-q33	present at least in one case	present at least in one case
207102_at	AKR1D1	7q32-q33	present at least in one case	present at least in one case
221894_at	MGC20727	7q32-q34	present at least in one case	absent in all cases
222090_at	MGC20727	7q32-q34	present at least in one case	present at least in one case
224016_at	HIPK2	7q32-q34	present at least in one case	present at least in one case
224066_s_at	HIPK2	7q32-q34	present at least in one case	present at least in one case
224065_at	HIPK2	7q32-q34	present at least in one case	present at least in one case
240294_at	HIPK2	7q32-q34	present at least in one case	present at least in one case
219028_at	HIPK2	7q32-q34	present at least in one case	present at least in one case
221893_s_at	MGC20727	7q32-q34	present at least in one case	present at least in one case
44120_at	MGC20727	7q32-q34	present at least in one case	present at least in one case
204391_x_at	TIF1	7q32-q34	present at least in one case	present at least in one case
213301_x_at	TIF1	7q32-q34	present at least in one case	present at least in one case
218654_s_at	MRPS33	7q32-q34	present at least in one case	present at least in one case
204390_at	TIF1	7q32-q34	absent in all cases	absent in all cases
222117_s_at	MGC20727	7q32-q34	absent in all cases	absent in all cases
207876_s_at	FLNC	7q32-q35	present at least in one case	present at least in one case
223874_at	ARP3BETA	7q32-q36	present at least in one case	present at least in one case
218868_at	ARP3BETA	7q32-q36	present at least in one case	present at least in one case
205977_s_at	EPHA1	7q32-q36	absent in all cases	absent in all cases
215804_at	EPHA1	7q32-q36	absent in all cases	absent in all cases
215198_s_at	CALD1	7q33	present at least in one case	present at least in one case
214880_x_at	CALD1	7q33	present at least in one case	present at least in one case
238418_at	YEA	7q33	present at least in one case	present at least in one case
201617_x_at	CALD1	7q33	present at least in one case	present at least in one case
219824_at	SLC13A4	7q33	present at least in one case	present at least in one case
222799_at	HSPC049	7q33	present at least in one case	present at least in one case
223925_s_at	MTPN	7q33	present at least in one case	present at least in one case
212077_at	CALD1	7q33	present at least in one case	present at least in one case
222139_at	KIAA1466	7q33	present at least in one case	present at least in one case
222382_x_at	C7orf14	7q33	present at least in one case	present at least in one case
226971_at	DKFZP434G156	7q33	present at least in one case	present at least in one case
226972_s_at	DKFZP434G156	7q33	present at least in one case	present at least in one case
244710_at	FLJ32786	7q33	present at least in one case	present at least in one case
218999_at	FLJ11000	7q33	present at least in one case	present at least in one case
225882_at	YEA	7q33	present at least in one case	present at least in one case
218971_s_at	HSPC049	7q33	present at least in one case	present at least in one case
219890_at	CLECSF5	7q33	present at least in one case	present at least in one case
206077_at	KEL	7q33	present at least in one case	present at least in one case
212247_at	C7orf14	7q33	present at least in one case	present at least in one case
225881_at	YEA	7q33	present at least in one case	present at least in one case
220949_s_at	MGC5242	7q33	present at least in one case	present at least in one case
224656_s_at	MTPN	7q33	present at least in one case	present at least in one case
201615_x_at	CALD1	7q33	absent in all cases	absent in all cases
201616_s_at	CALD1	7q33	absent in all cases	absent in all cases
206561_s_at	AKR1B10	7q33	absent in all cases	absent in all cases
215199_at	CALD1	7q33	absent in all cases	absent in all cases
232989_s_at	DKFZP434G156	7q33	absent in all cases	absent in all cases
209465_x_at	PTN	7q33-q34	present at least in one case	present at least in one case
209466_x_at	PTN	7q33-q34	present at least in one case	present at least in one case
206827_s_at	TRPV6	7q33-q34	absent in all cases	absent in all cases
208408_at	PTN	7q33-q34	absent in all cases	absent in all cases
211737_x_at	PTN	7q33-q34	absent in all cases	absent in all cases
220197_at	ATP6V0A4	7q33-q34	absent in all cases	absent in all cases
228596_at	ARHGEF5	7q33-q35	present at least in one case	present at least in one case
204718_at	EPHB6	7q33-q35	present at least in one case	present at least in one case
225142_at	KIAA1718	7q33-q35	present at least in one case	present at least in one case
221778_at	KIAA1718	7q33-q35	present at least in one case	present at least in one case
204765_at	ARHGEF5	7q33-q35	absent in all cases	absent in all cases
224183_at	NAG19	7q33-q36	present at least in one case	absent in all cases
210496_at	NAG18	7q33-q36	present at least in one case	present at least in one case
236425_at	CGI-59	7q34	present at least in one case	present at least in one case
232921_at	LOC286025	7q34	present at least in one case	present at least in one case
234377_at	TRB	7q34	present at least in one case	present at least in one case
227753_at	FLJ90586	7q34	present at least in one case	present at least in one case
238349_at	FLJ25778	7q34	present at least in one case	present at least in one case
233999_s_at	FLJ12571	7q34	present at least in one case	present at least in one case
241012_at	TRB	7q34	present at least in one case	present at least in one case
238350_at	FLJ25778	7q34	present at least in one case	present at least in one case
223304_at	DKFZp761N0624	7q34	present at least in one case	present at least in one case
219758_at	FLJ12571	7q34	present at least in one case	present at least in one case
216666_at	LOC93432	7q34	present at least in one case	present at least in one case
215395_x_at	TRY6	7q34	present at least in one case	present at least in one case
224533_s_at	TRB	7q34	present at least in one case	present at least in one case
216470_x_at	TRB	7q34	present at least in one case	present at least in one case
205402_x_at	PRSS2	7q34	present at least in one case	present at least in one case
223575_at	KIAA1549	7q34	present at least in one case	present at least in one case
231435_at	ctm-1	7q34	present at least in one case	present at least in one case
228280_at	MGC14289	7q34	present at least in one case	present at least in one case
217842_at	CGI-59	7q34	present at least in one case	present at least in one case
218568_at	FLJ10842	7q34	present at least in one case	present at least in one case
206044_s_at	BRAF	7q34	present at least in one case	present at least in one case
243852_at	CGI-59	7q34	present at least in one case	present at least in one case
227502_at	FLJ10842	7q34	present at least in one case	present at least in one case
243829_at	BRAF	7q34	present at least in one case	present at least in one case
223161_at	LCHN	7q34	present at least in one case	present at least in one case
222132_s_at	FLJ10842	7q34	present at least in one case	present at least in one case
214060_at	SSBP1	7q34	present at least in one case	present at least in one case
206522_at	MGAM	7q34	present at least in one case	present at least in one case
211796_s_at	TRB	7q34	present at least in one case	present at least in one case
218543_s_at	FLJ22693	7q34	present at least in one case	present at least in one case
220104_at	ZAP	7q34	present at least in one case	present at least in one case
241133_at	TRB	7q34	present at least in one case	present at least in one case
210915_x_at	TRB	7q34	present at least in one case	present at least in one case
218201_at	NDUFB2	7q34	present at least in one case	present at least in one case
213193_x_at	TRB	7q34	present at least in one case	present at least in one case
223162_s_at	LCHN	7q34	present at least in one case	present at least in one case
226758_at	CGI-59	7q34	present at least in one case	present at least in one case
209845_at	MKRN1	7q34	present at least in one case	present at least in one case
212345_s_at	DKFZP586F2423	7q34	present at least in one case	present at least in one case
220099_s_at	CGI-59	7q34	present at least in one case	present at least in one case
213051_at	ZAP	7q34	present at least in one case	present at least in one case
217751_at	LOC51064	7q34	present at least in one case	present at least in one case
202591_s_at	SSBP1	7q34	present at least in one case	present at least in one case
218200_s_at	NDUFB2	7q34	present at least in one case	present at least in one case
201285_at	MKRN1	7q34	present at least in one case	present at least in one case
205869_at	PRSS1	7q34	absent in all cases	absent in all cases
206509_at	PIP	7q34	absent in all cases	absent in all cases
211608_at	TRB	7q34	absent in all cases	absent in all cases
216578_at	TRB	7q34	absent in all cases	absent in all cases
216597_at	TRB	7q34	absent in all cases	absent in all cases
217326_x_at	TRB	7q34	absent in all cases	absent in all cases
217328_at	TRB	7q34	absent in all cases	absent in all cases
221885_at	KIAA1277	7q34	absent in all cases	absent in all cases
221886_at	KIAA1277	7q34	absent in all cases	absent in all cases
229634_at	FLJ90586	7q34	absent in all cases	absent in all cases
232173_at	LOC154790	7q34	absent in all cases	absent in all cases
243325_at	LOC51064	7q34	absent in all cases	absent in all cases
53991_at	KIAA1277	7q34	absent in all cases	absent in all cases
209811_at	CASP2	7q34-q35	present at least in one case	present at least in one case
223686_at	TPK1	7q34-q35	present at least in one case	present at least in one case
208050_s_at	CASP2	7q34-q35	present at least in one case	present at least in one case
34449_at	CASP2	7q34-q35	present at least in one case	present at least in one case
236345_at	TBXAS1	7q34-q35	present at least in one case	present at least in one case
221218_s_at	TPK1	7q34-q35	present at least in one case	present at least in one case
226036_x_at	CASP2	7q34-q35	present at least in one case	present at least in one case
208130_s_at	TBXAS1	7q34-q35	present at least in one case	present at least in one case
226032_at	CASP2	7q34-q35	present at least in one case	present at least in one case
209812_x_at	CASP2	7q34-q35	absent in all cases	absent in all cases
211140_s_at	CASP2	7q34-q35	absent in all cases	absent in all cases
235859_at	MLL3	7q34-q36	present at least in one case	present at least in one case
203559_s_at	ABP1	7q34-q36	present at least in one case	present at least in one case
232940_s_at	MLL3	7q34-q36	present at least in one case	present at least in one case
219013_at	GALNT11	7q34-q36	present at least in one case	present at least in one case
222413_s_at	MLL3	7q34-q36	present at least in one case	present at least in one case
222414_at	MLL3	7q34-q36	present at least in one case	present at least in one case
222415_at	MLL3	7q34-q36	present at least in one case	present at least in one case
207561_s_at	ACCN3	7q35	present at least in one case	absent in all cases
208437_at	CLCN1	7q35	present at least in one case	present at least in one case
210975_x_at	FASTK	7q35	present at least in one case	present at least in one case
227868_at	LOC154761	7q35	present at least in one case	present at least in one case
210529_s_at	KIAA0738	7q35	present at least in one case	present at least in one case
204403_x_at	KIAA0738	7q35	present at least in one case	present at least in one case
227598_at	LOC113763	7q35	present at least in one case	present at least in one case
214114_x_at	FASTK	7q35	present at least in one case	present at least in one case
208658_at	ERP70	7q35	present at least in one case	present at least in one case
