Unique id	Gene symbol	GeneBank accession	P-value (BRCA1 pools vs BRCA2 vs BRCAX pools)	P-value (Treated vs non-treated BRCA1/2/X pools)	P-value (Treated vs non-treated healthy control pools)
870437	NARG1	NM_057175.3	NS	0.0003175	0.0138682
6450487	PTPN2	NM_002828.2	NS	0.0003449	0.0139804
6130674	TXNIP	NM_006472.1	NS	0.0002558	0.0139848
6760382	POU2AF1	NM_006235.1	NS	0.0005813	0.0139891
1090296	GRWD1	NM_031485.2	NS	0.0000401	0.0140734
4560184	LSG1	NM_018385.1	NS	0.0000691	0.0141957
5900554	DHTKD1	NM_018706.4	NS	0.0000202	0.0143098
4250379	FOS	NM_005252.2	NS	0.0022856	0.0143519
6760373	PPARBP	NM_004774.2	NS	0.0022038	0.014446
6280750	RRS1	NM_015169.3	NS	0.0001695	0.0144568
5490687	DARS	NM_001349.2	NS	0.0000202	0.0145067
50196	HSPA14	NM_016299.1	NS	0.0007725	0.0145591
3780475	EIF2B4	NM_015636.2	NS	0.0013045	0.0145993
7050376	MRPS25	NM_022497.3	NS	0.0000006	0.0148455
7610528	C6orf192	NM_052831.2	NS	0.0011869	0.0148579
4060110	ALS2CR13	NM_173511.2	NS	0.0000093	0.0148834
2810382	ABCF2	NM_007189.1	NS	0.0011092	0.0149756
1770523	ADCK1	NM_020421.2	NS	0.0033103	0.0150159
4590301	LMBRD1	NM_018368.2	NS	0.0020724	0.0150585
150541	RBPSUH	NM_005349.2	NS	0.0000611	0.0154693
6620427	PEA15	NM_003768.2	NS	0.0000572	0.0154812
7210598	POLR3F	NM_006466.2	NS	0.0027996	0.0155547
5420386	RAD51L1	NM_133510.2	NS	0.0000641	0.0156132
6040184	HSPBAP1	NM_024610.3	NS	0.0003656	0.0156615
650070	C17orf40	NM_018428.2	NS	0.0016312	0.0156772
3840575	WDR4	NM_033661.3	NS	0.0035315	0.015892
3890142	NOC4L	NM_024078.1	NS	0.0002866	0.0160693
5050673	TMEM45A	NM_018004.1	NS	0.000012	0.0162873
4920092	SLC2A3	NM_006931.1	NS	0.0000074	0.0162925
240037	PCMTD1	NM_052937.1	NS	0.0012047	0.0163581
2370593	ZC3HC1	NM_016478.3	NS	0.0000051	0.0165065
3140369	SSBP2	NM_012446.2	NS	0.0000868	0.0165164
6620170	GSDML	NM_018530.1	NS	0.0000952	0.0165523
2850674	PGBD1	NM_032507.2	NS	0.0034991	0.0166189
5890446	PREB	NM_013388.4	NS	0.0017558	0.0166562
7380364	ASCC1	NM_015947.2	NS	0.0041351	0.0167029
6900068	WDR74	NM_018093.1	NS	0.0015181	0.0167283
3130711	XPO5	NM_020750.1	NS	0.0000617	0.0168738
4390647	CG018	NM_052818.1	NS	0.0025149	0.016887
3870113	ZNF706	NM_016096.2	NS	0.0007663	0.0169077
4590687	FLJ20920	NM_025149.3	NS	0.0016682	0.0171964
6380609	SLC25A26	NM_173471.1	NS	0.0033798	0.0172565
6330148	PRPF38A	NM_032284.2	NS	0.0004322	0.0173024
380386	TRIM6	NM_001003818.1	NS	0.0000024	0.0174275
6840327	UBTF	NM_014233.1	NS	0.0003161	0.0174601
3190427	MRPS10	NM_018141.2	NS	0.003306	0.0177302
3450747	2-PDE	NM_177966.4	NS	0.0003301	0.0177393
1430154	ZNF404	NM_001033719.1	NS	0.0000354	0.0180428
5080349	DIAPH3	NM_030932.2	NS	0.0011352	0.018138
3890685	TRIM35	NM_171982.2	NS	0.0038261	0.0181824
4810730	KIAA1840	NM_025137.2	NS	0.0001894	0.0181912
10133	BID	NM_001196.2	NS	0.0002889	0.0181992
5820328	MED4	NM_014166.2	NS	0.0000983	0.018452
2810341	C1orf69	NM_001010867.1	NS	0.0002948	0.0186403
730592	RFC5	NM_007370.3	NS	0.0019149	0.0186737
4880491	MLLT7	NM_005938.1	NS	0.0000479	0.0186853
5890040	PPME1	NM_016147.1	NS	0.0015599	0.0186861
110152	DDX48	NM_014740.2	NS	0.0000017	0.0187076
5050372	FLI1	NM_002017.2	NS	0.0010825	0.0187525
450754	ALDOA	NM_184041.1	NS	0.0000926	0.0188327
4280056	C12orf49	NM_024738.1	NS	0.0000069	0.0188441
1690273	ADD3	NM_016824.3	NS	0.0013859	0.018933
2470324	KIAA0586	NM_014749.2	NS	0.0000171	0.0189885
2230064	IFRD2	NM_006764.3	NS	0.0022101	0.0190279
2140102	TUSC2	NM_007275.1	NS	0.000336	0.0190808
5090356	WDR46	NM_005452.4	NS	0.0013147	0.0191126
840739	C1orf52	NM_198077.1	NS	0.0026661	0.0192217
4210195	ZNF207	NM_003457.2	NS	0.0001029	0.0192506
5310754	KIAA0859	NM_015935.4	NS	0.0002615	0.0194857
6270427	BTN3A3	NM_006994.3	NS	0.0014721	0.0196259
5390026	NHLRC2	NM_198514.2	NS	0.0000083	0.0197517
2490273	RDH13	NM_138412.2	NS	0.0006586	0.0198211
1690386	NT5DC3	NM_016575.1	NS	0.0004366	0.0200986
4210112	SPATA7	NM_018418.1	NS	0.0001363	0.020167
3940048	VCP	NM_007126.2	NS	0.000634	0.0202718
3180041	TOR1AIP1	NM_015602.2	NS	0.0018056	0.0204741
3190437	IFNAR1	NM_000629.2	NS	0.0009416	0.0205074
7050458	QPRT	NM_014298.3	NS	0.0004167	0.0206014
5570037	FLJ10178	NM_018015.3	NS	0.00036	0.0206474
2190672	NIPSNAP1	NM_003634.1	NS	0.0001947	0.020661
7040014	KIAA0256	NM_014701.2	NS	0.0000553	0.0206922
5890246	RXRA	NM_002957.3	NS	0.0007961	0.0206936
60491	LMAN2	NM_006816.1	NS	0.0026759	0.0206951
4490435	CHRAC1	NM_017444.3	NS	0.0002524	0.0207622
4570196	C22orf19	NM_001002878.1	NS	0.0016941	0.0208919
1050189	IXL	NM_017592.1	NS	0.0004854	0.0209744
3990181	POLR1C	NM_203290.1	NS	0.0001418	0.0209783
2940541	ICAM1	NM_000201.1	NS	0.0019656	0.0211736
6130441	ARHGAP19	NM_032900.4	NS	0.0022541	0.0212053
4120301	CAPN12	NM_144691.3	NS	0.0021185	0.0213377
3390767	KIAA0863	NM_014913.2	NS	0.0010543	0.0213522
7610292	LETM1	NM_012318.1	NS	0.0032605	0.0214732
4220019	FLJ20718	NM_017939.1	NS	0.0031498	0.0215657
5960717	STAT2	NM_005419.2	NS	0.0005559	0.02173
830070	PAM	NM_138821.1	NS	0.0007475	0.0218398
3780685	UTP14C	NM_021645.4	NS	0.0025989	0.0219179
1230730	C5orf5	NM_016603.1	NS	0.0015101	0.022122
5490100	SCO1	NM_004589.1	NS	0.0002091	0.0222638
1230706	M6PRBP1	NM_005817.3	NS	0.0006888	0.0223108
7200524	WDR21A	NM_181340.1	NS	0.0002975	0.0224126
1450717	ORC5L	NM_002553.2	NS	0.0007485	0.0224307
7550497	SUCLG2	NM_003848.1	NS	0.0001515	0.0225215
6480035	PPGB	NM_000308.1	NS	0.0027268	0.0226384
4180082	EWSR1	NM_013986.1	NS	0.0004222	0.0226668
870259	COX4NB	NM_006067.3	NS	0.0000422	0.0228129
4920577	BTN3A2	NM_007047.3	NS	0.0006008	0.0230418
3520739	CPSF4	NM_006693.1	NS	0.0011272	0.0231509
870370	XPO4	NM_022459.3	NS	0.0017919	0.0232215
5290411	NVL	NM_002533.2	NS	0.0004192	0.0232556
6560482	CIRBP	NM_001280.1	NS	0.0012882	0.0233585
5050537	PSMC1	NM_002802.2	NS	0.0000553	0.0234286
5560131	ANKZF1	NM_018089.1	NS	0.0000016	0.023456
3290324	ACP5	NM_001611.2	NS	0.0003093	0.0235806
3450692	TRAF1	NM_005658.3	NS	0.0001695	0.0236533
3850687	NARF	NM_031968.1	NS	0.0000758	0.0237807
2630598	RPIA	NM_144563.1	NS	0.0024223	0.0237994
6220025	PIGN	NM_012327.3	NS	0.0015717	0.0238196
1190193	DDIT4	NM_019058.2	NS	0.0003217	0.0238823
7570458	ABI2	NM_005759.3	NS	0.0020333	0.0238918
270243	DNAJB11	NM_016306.4	NS	0.0000947	0.0239275
290347	GTPBP4	NM_012341.2	NS	0.0004851	0.023962
3420315	MAT2A	NM_005911.4	NS	0.0008236	0.024186
7330367	OAZ2	NM_002537.1	NS	0.0000452	0.0243163
3780209	PDLIM1	NM_020992.2	NS	0.0012983	0.0245941
6100743	ZFP90	NM_133458.1	NS	0.0001019	0.0246039
4050292	DERL2	NM_016041.2	NS	0.0014951	0.0247424
6900746	SRCRB4D	NM_080744.1	NS	0.000327	0.0250252
4050450	GUSBL1	NM_001033523.1	NS	0.0022659	0.0250299
2030161	CD37	NM_001774.1	NS	0.0025064	0.025096
4480300	C3orf29	NM_022485.2	NS	0.0001679	0.0252192
6980195	LRRC47	NM_020710.1	NS	0.0009284	0.025228
5820068	NCKIPSD	NM_184231.1	NS	0.0000007	0.0252798
460273	UBE2I	NM_003345.3	NS	0.0039618	0.0254647
3310253	ASNS	NM_133436.1	NS	0.0000917	0.026018
2320241	LYCAT	NM_001002257.1	NS	0.0027254	0.02605
5260673	WSB1	NM_134264.2	NS	0.0002052	0.0261014
3800333	C17orf25	NM_016080.2	NS	0.0019509	0.0261896
5130372	TXNL4A	NM_006701.2	NS	0.0015033	0.0261939
6840470	UTP15	NM_032175.2	NS	0.0003908	0.0266797
5050541	PTGER4	NM_000958.2	NS	0.0000068	0.0267811
5340064	ZNF696	NM_030895.1	NS	0.0000325	0.0267917
4890360	BLNK	NM_013314.2	NS	0.0003579	0.0268773
5720092	GATM	NM_001482.1	NS	0.0007122	0.0269311
2030593	EVI2B	NM_006495.2	NS	0.00219	0.0269788
3940035	FLJ40722	NM_173678.1	NS	0.0007148	0.0270776
2060347	EVL	NM_016337.2	NS	0.0000162	0.0271685
4920273	DDX18	NM_006773.3	NS	0.0026607	0.0271997
4050347	ADRM1	NM_007002.2	NS	0.0010898	0.0272705
3610598	SLC43A2	NM_152346.1	NS	0.0027978	0.0275134
4220253	FLJ11000	NM_018295.1	NS	0.0019017	0.0275537
4120048	DDX19A	NM_018332.3	NS	0.0003747	0.0275824
5560523	PLOD1	NM_000302.2	NS	0.0010004	0.0276181
10050	C20orf19	NM_018474.2	NS	0.0001103	0.0276555
3130474	HSPC117	NM_014306.2	NS	0.0040213	0.027907
2630626	GPR172A	NM_024531.3	NS	0.0000077	0.0279787
3310471	C3orf9	NM_020231.3	NS	0.0003011	0.0279922
6330180	MAX	NM_145113.1	NS	0.002629	0.0280909
5900356	RHOT1	NM_018307.3	NS	0.0012299	0.0281094
4480762	COL4A4	NM_000092.3	NS	0.0041604	0.028202
3400731	CENTB1	NM_014716.2	NS	0.0010602	0.0283652
6450576	TMEM107	NM_032354.2	NS	0.0001398	0.0284964
2120477	ETV6	NM_001987.3	NS	0.002201	0.0285233
1410201	MDM1	NM_020128.1	NS	0.0012179	0.0286682
6250458	C21orf42	NM_058184.1	NS	0.0004897	0.0286878
5820356	EIF2C3	NM_177422.1	NS	0.0000513	0.0287435
110121	RBM28	NM_018077.1	NS	0.0002623	0.0289872
4880195	NSUN2	NM_017755.4	NS	0.0010481	0.0291299
6760040	ACTR5	NM_024855.2	NS	0.0000832	0.0292597
510634	HSPC111	NM_016391.2	NS	0.003281	0.029278
1240646	MSTO1	NM_018116.2	NS	0.0007495	0.0293981
60328	LOC339123	NM_001005920.2	NS	0.0039616	0.0295852
6200017	GOT1	NM_002079.1	NS	0.0001282	0.0297036
4250678	TLR6	NM_006068.2	NS	0.0009031	0.0297566
870338	EXTL2	NM_001439.2	NS	0.0005506	0.0298331
5690327	PYCR1	NM_153824.1	NS	0.0026292	0.0298923
3520008	SLC3A2	NM_001012661.1	NS	0.0002016	0.0304424
6200647	PARVB	NM_013327.3	NS	0.0000645	0.030795
6290181	Bles03	NM_031450.2	NS	0.0005772	0.0307989
5490086	ZBTB25	NM_006977.2	NS	0.0000394	0.0309331
3290475	TMEM77	NM_178454.2	NS	0.0025783	0.0309379
5220300	BMP2K	NM_017593.3	NS	0.0004316	0.0309944
4590367	ST8SIA4	NM_175052.1	NS	0.0000913	0.0311116
6510600	MGC16169	NM_033115.2	NS	0.0003909	0.0311573
1010743	WDR45	NM_001029896.1	NS	0.0007253	0.0312855
4730402	RFC3	NM_181558.1	NS	0.0006959	0.031396
4860647	PRR11	NM_018304.1	NS	0.0004441	0.0323204
1850523	SLC31A2	NM_001860.1	NS	0.0025977	0.032934
3060487	LOC255374	NM_203397.1	NS	0.0034281	0.033201
5360068	FLJ20232	NM_019008.4	NS	0.0003829	0.0334047
6660544	PJA2	NM_014819.2	NS	0.0037364	0.0334293
1820730	RPUSD1	NM_058192.2	NS	0.0004068	0.033448
3060408	ZNF485	NM_145312.2	NS	0.0000871	0.0334972
6650411	SNX19	NM_014758.1	NS	0.0006239	0.0336101
5270563	ERO1L	NM_014584.1	NS	0.0005747	0.0336294
4920280	GPR55	NM_005683.2	NS	0.0000197	0.0336621
7320022	NR4A2	NM_006186.2	NS	0.0004594	0.0336728
1780392	DKC1	NM_001363.2	NS	0.00002	0.0336886
2480092	MCCC1	NM_020166.2	NS	0.0022948	0.0337419
2570255	TRIM38	NM_006355.2	NS	0.0000051	0.0339148
7570543	ANKRA2	NM_023039.2	NS	0.0000629	0.0340971
6510673	LOC55565	NM_017530.1	NS	0.0009342	0.0342514
990181	ALAD	NM_001003945.1	NS	0.0000553	0.0343088
4120100	AK3L1	NM_001005353.1	NS	0.0000159	0.0343189
2630224	C3orf9	NM_152305.1	NS	0.000034	0.034444
7050739	JTV1	NM_006303.2	NS	0.0006075	0.034511
7000224	DDX28	NM_018380.2	NS	0.004184	0.0345567
6270725	HAVCR2	NM_032782.3	NS	0.0007375	0.0348738
940551	PSAT1	NM_021154.3	NS	0.0000274	0.0349801
2850292	RAD54B	NM_012415.2	NS	0.0014973	0.0350671
3140022	C20orf4	NM_015511.2	NS	0.0000352	0.0352459
4180315	FGFR1OP2	NM_015633.1	NS	0.0000587	0.0352723
2510661	FUBP1	NM_003902.3	NS	0.0000837	0.0353027
3800239	PSEN2	NM_012486.1	NS	0.0000019	0.0357856
870072	PRMT5	NM_006109.2	NS	0.0004403	0.035794
2680193	TUBGCP5	NM_052903.2	NS	0.0001737	0.0358596
2070437	PSME3	NM_005789.2	NS	0.0012023	0.0359678
4860341	E2F6	NM_001952.3	NS	0.0001026	0.0360494
1710259	HERC5	NM_016323.1	NS	0.0024374	0.0361433
4670286	C14orf172	NM_152307.1	NS	0.0001694	0.03629
2480634	LOC57146	NM_020422.3	NS	0.0006488	0.0363148
6350039	FKSG24	NM_032683.1	NS	0.0016965	0.0364616
1430538	PLCG2	NM_002661.1	NS	0.0027985	0.0366976
1940543	EXOC6	NM_001013848.1	NS	0.0016149	0.0371374
5890288	PMM2	NM_000303.1	NS	0.0004919	0.0371884
4900053	SIAHBP1	NM_014281.3	NS	0.0000212	0.0372673
3840523	B3GNT6	NM_006876.1	NS	0.0010119	0.0373433
1850255	SYNGR2	NM_004710.3	NS	0.0002399	0.0373854
6380563	YPEL3	NM_031477.3	NS	0.0014274	0.0375231
1170379	ZNF35	NM_003420.2	NS	0.0007321	0.0378456
5340273	MGC33584	NM_173680.2	NS	0.0001584	0.0378524
2600037	ARHGAP15	NM_018460.2	NS	0.0022628	0.0380327
3400767	KISS1R	NM_032551.3	NS	0.0000107	0.038184
2120598	MYBBP1A	NM_014520.1	NS	0.0001651	0.0382634
4920138	PYCRL	NM_023078.1	NS	0.0040708	0.0384428
1340240	ZXDA	NM_007156.3	NS	0.0025618	0.0384667
20707	IFNAR2	NM_207584.1	NS	0.0037795	0.0384908
4040747	SMAP1	NM_021940.2	NS	0.0002806	0.0385153
5720086	C6orf153	NM_033112.2	NS	0.0021396	0.0386643
6420008	C14orf147	NM_138288.2	NS	0.0000297	0.0387506
4590719	C17orf32	NM_152464.1	NS	0.00371	0.0389254
4260392	ATM	NM_000051.3	NS	0.0002896	0.039294
6110148	ABCF2	NM_005692.3	NS	0.000284	0.0393604
5310537	PNRC1	NM_006813.1	NS	0.0037816	0.0395016
5560273	LILRB1	NM_006669.2	NS	0.0001171	0.0395342
1570414	PRKCB1	NM_002738.5	NS	0.0006472	0.0396954
3170575	HYAL2	NM_003773.2	NS	0.0003838	0.0401367
3780494	ALDH6A1	NM_005589.2	NS	0.0015145	0.0401544
4230373	ZNF207	NM_003457.2	NS	0.0014622	0.0403723
7200255	IFI44L	NM_006820.1	NS	0.0028159	0.0403919
6020458	FLJ38984	NM_152374.1	NS	0.0018037	0.0405901
5810113	PSMC3	NM_002804.3	NS	0.0033202	0.040591
2710392	NOL1	NM_006170.2	NS	0.0001333	0.0407109
3460397	FLOT1	NM_005803.2	NS	0.0036467	0.0407351
1030110	RFC2	NM_002914.3	NS	0.0004524	0.0407714
2650072	MPI	NM_002435.1	NS	0.0019091	0.0408179
1170497	PTPNS1	NM_080792.1	NS	0.0002382	0.0411057
5890239	JRK	NM_003724.1	NS	0.000345	0.0411084
160397	MBNL1	NM_207293.1	NS	0.0002416	0.0411114
4560576	HSA9761	NM_014473.2	NS	0.0020499	0.0416847
2370343	CDC25C	NM_001790.2	NS	0.0000096	0.0419482
60451	KIAA1815	NM_024896.2	NS	0.0000157	0.0420885
5260564	DENND1A	NM_024820.2	NS	0.0001788	0.0424685
6290458	ZNF200	NM_198088.1	NS	0.0002075	0.0432167
2100296	PPM1M	NM_144641.1	NS	0.001684	0.0438111
110576	PPFIA1	NM_003626.2	NS	0.0024253	0.0438877
5260524	PINX1	NM_017884.3	NS	0.0031756	0.0438926
6270736	SETDB2	NM_031915.1	NS	0.0002673	0.0439863
1740445	CYCS	NM_018947.4	NS	0.0002476	0.0440557
4810528	ARMCX2	NM_177949.1	NS	0.0036633	0.0441464
290131	FLJ20718	NM_182922.1	NS	0.0010461	0.0441664
7550452	POLR1C	NM_004875.2	NS	0.0001047	0.0449429
7380112	TPI1	NM_000365.4	NS	0.0001168	0.0450913
1690167	C10orf61	NM_001013840.1	NS	0.0034536	0.0455399
2600747	SLC7A5	NM_003486.5	NS	0.0008491	0.0455644
2340068	RPL7L1	NM_198486.2	NS	0.0010089	0.0457103
990039	NOL9	NM_024654.3	NS	0.0022887	0.0457274
6960593	ANAPC13	NM_015391.1	NS	0.0009856	0.0461992
3940446	EVI2A	NM_014210.2	NS	0.0004172	0.0465581
1850541	DHPS	NM_001930.2	NS	0.0016998	0.0465801
6650280	SGOL1	NM_001012413.1	NS	0.0000767	0.0468248
6270053	EFCAB3	NM_173503.1	NS	0.0032384	0.0469143
2940184	DENND1A	NM_024820.2	NS	0.0000307	0.0473137
4050209	POFUT1	NM_015352.1	NS	0.0021233	0.0474816
5690553	NDRG1	NM_006096.2	NS	0.0026194	0.0475368
2850605	IGBP1	NM_001551.2	NS	0.0009221	0.047649
2650484	ICOSLG	NM_015259.4	NS	0.0001633	0.0478644
3610424	TOR3A	NM_022371.2	NS	0.0003143	0.0480418
1820187	SPIN1	NM_032038.1	NS	0.0008114	0.0481128
2850450	MANEAL	NM_001031740.1	NS	0.0002291	0.0481975
6280059	PRCC	NM_199416.1	NS	0.001456	0.0483974
4540500	PAPLN	NM_173462.2	NS	0.0003223	0.0483995
6560228	PAIP2	NM_001033112.1	NS	0.0038241	0.0485743
1400035	INOC1	NM_017553.1	NS	0.0015236	0.0487665
450037	LY9	NM_002348.2	NS	0.0037758	0.0489597
4760615	ADI1	NM_018269.1	NS	0.0002203	0.0490006
5260347	POLDIP2	NM_015584.2	NS	0.0008704	0.0492553
2350603	C17orf81	NM_203413.1	NS	0.0021436	0.0495594
4260154	POLE3	NM_017443.3	NS	0.0000378	0.0497408
4150164	GPT2	NM_133443.1	NS	0.0004905	0.0497649
4560047	CP110	NM_014711.3	NS	0.0004996	0.049775
3180224	HADHSC	NM_005327.1	NS	0.0000006	NS
10338	CRELD1	NM_001031717.1	NS	0.0000007	NS
5080066	ALDOC	NM_005165.2	NS	0.000001	NS
5310192	EGLN3	NM_022073.2	NS	0.0000011	NS
6580307	DUSP11	NM_003584.1	NS	0.0000017	NS
7050360	NCF2	NM_000433.2	NS	0.000002	NS
6420278	SEMA6A	NM_020796.2	NS	0.0000022	NS
2710743	PLCXD1	NM_018390.1	NS	0.0000028	NS
3520379	BCMO1	NM_017429.2	NS	0.0000032	NS
7050451	GCLM	NM_002061.2	NS	0.0000035	NS
1850129	TXNDC9	NM_005783.3	NS	0.0000046	NS
5900468	RHBDD2	NM_020684.2	NS	0.0000047	NS
20670	HPCAL1	NM_002149.2	NS	0.0000053	NS
5360307	WNT10A	NM_025216.2	NS	0.0000054	NS
7510709	L3MBTL3	NM_001007102.1	NS	0.0000056	NS
3610717	BCKDHA	NM_000709.2	NS	0.0000057	NS
770639	RPL37	NM_000997.3	NS	0.0000059	NS
5490113	HIBADH	NM_152740.2	NS	0.000006	NS
6040639	AIM2	NM_004833.1	NS	0.0000066	NS
6200674		NM_145052.1	NS	0.0000066	NS
1010341	YARS2	NM_015936.1	NS	0.000007	NS
4290341	SNRPD1	NM_006938.2	NS	0.000008	NS
1940414	RSAFD1	NM_018264.2	NS	0.0000085	NS
6370019	FUT11	NM_173540.1	NS	0.0000094	NS
940730	ODF2L	NM_001007022.1	NS	0.0000095	NS
1820630	CTPS2	NM_175859.1	NS	0.0000104	NS
2230025	GBGT1	NM_021996.3	NS	0.0000106	NS
110408	LOC134147	NM_138809.2	NS	0.0000108	NS
2970220	CYP20A1	NM_177538.1	NS	0.000013	NS
3420184	LYAR	NM_017816.1	NS	0.0000133	NS
5220270	ANKRD37	NM_181726.1	NS	0.0000134	NS
4570088	RNF19	NM_015435.3	NS	0.0000138	NS
6760255	CYP1B1	NM_000104.2	NS	0.000014	NS
3610326	CLEC2D	NM_001004419.1	NS	0.0000142	NS
6550397	FLJ38451	NM_175872.3	NS	0.0000143	NS
7200187	FAM113B	NM_138371.1	NS	0.0000147	NS
290379	C6orf111	NM_032870.1	NS	0.0000152	NS
6290482	SDCCAG8	NM_006642.1	NS	0.0000162	NS
540746	ASTN2	NM_014010.3	NS	0.0000164	NS
6270707	SLC24A1	NM_004727.1	NS	0.0000164	NS
2750189	ZNF25	NM_145011.2	NS	0.0000166	NS
580241	CD53	NM_000560.2	NS	0.0000173	NS
1470603	VPS26B	NM_052875.2	NS	0.0000174	NS
1030692	MRPL49	NM_004927.2	NS	0.0000178	NS
1820288	TFB2M	NM_022366.1	NS	0.0000185	NS
2690368	SH3KBP1	NM_031892.1	NS	0.000019	NS
2970634	MACF1	NM_012090.3	NS	0.000019	NS
1190441	LOC201895	NM_174921.1	NS	0.0000192	NS
6980754	C1orf66	NM_015997.2	NS	0.0000194	NS
1740392	HIBCH	NM_014362.2	NS	0.0000202	NS
670445	HSA277841	NM_018553.1	NS	0.0000206	NS
2230296	SET	NM_003011.1	NS	0.000021	NS
4880368	TLE6	NM_024760.1	NS	0.0000218	NS
70551	KEAP1	NM_012289.3	NS	0.0000221	NS
1260500	SIRT5	NM_012241.2	NS	0.0000223	NS
5560113	LCMT2	NM_014793.3	NS	0.0000223	NS
5570673	VNN2	NM_004665.2	NS	0.0000228	NS
6660292	PSMC2	NM_002803.2	NS	0.0000234	NS
6180332	EYA3	NM_172098.1	NS	0.0000235	NS
6400280	B3GALNT2	NM_152490.1	NS	0.0000238	NS
7000521	FLJ20298	NM_017752.2	NS	0.0000238	NS
3170255	AK3L2	NM_001002921.1	NS	0.0000243	NS
6110440	PRKCE	NM_005400.2	NS	0.0000261	NS
6960576	C1orf19	NM_052965.1	NS	0.0000263	NS
4920221	GSTM4	NM_000850.3	NS	0.0000274	NS
5860707	CACNB4	NM_001005747.1	NS	0.0000278	NS
5900519	SPATA5L1	NM_024063.1	NS	0.0000285	NS
5420221	RAN	NM_006325.2	NS	0.000029	NS
990241	ABCB7	NM_004299.3	NS	0.0000294	NS
1990411	CRAMP1L	NM_020825.2	NS	0.0000298	NS
7210703	RAC2	NM_002872.3	NS	0.0000298	NS
4780593	RIOK1	NM_031480.2	NS	0.0000306	NS
1740437	RWDD2	NM_033411.2	NS	0.0000307	NS
4120035	HMGCL	NM_000191.2	NS	0.0000318	NS
4880053	TNIP2	NM_024309.2	NS	0.0000321	NS
380280	C14orf130	NM_175748.1	NS	0.0000327	NS
1570553	DHRS8	NM_016245.2	NS	0.0000327	NS
5090148	MGC13024	NM_152288.1	NS	0.0000329	NS
4220132	BUB3	NM_004725.2	NS	0.0000343	NS
6280474	DDX21	NM_004728.2	NS	0.0000345	NS
4760768	HK2	NM_000189.4	NS	0.0000347	NS
4260379	STMN3	NM_015894.2	NS	0.0000354	NS
5490408	ZMPSTE24	NM_005857.2	NS	0.0000354	NS
4540301	DKFZP586D0919	NM_206914.1	NS	0.0000363	NS
3930368	GTPBP6	NM_012227.1	NS	0.0000372	NS
70070	PIGW	NM_178517.3	NS	0.0000408	NS
1240349	RNF36	NM_080745.2	NS	0.0000416	NS
7050372	TXNRD1	NM_003330.2	NS	0.0000424	NS
6250577	FLJ38482	NM_152681.1	NS	0.0000439	NS
3870634	XYLT2	NM_022167.1	NS	0.0000441	NS
3180474	PPP2R1B	NM_181699.1	NS	0.0000443	NS
130092	PGAM4	NM_001029891.1	NS	0.0000444	NS
2260746	BCCIP	NM_078469.1	NS	0.0000449	NS
6130010	FLJ20558	NM_017880.1	NS	0.0000453	NS
4150609	NAPB	NM_022080.1	NS	0.0000461	NS
50504	RELB	NM_006509.2	NS	0.0000483	NS
730519	MINA	NM_153182.1	NS	0.0000488	NS
4640026	LRRC28	NM_144598.2	NS	0.0000488	NS
3420725	REPS1	NM_031922.2	NS	0.0000503	NS
2480372	EIF3S1	NM_003758.1	NS	0.0000518	NS
7050477	PKIA	NM_006823.2	NS	0.0000519	NS
4560040	C16orf44	NM_024731.2	NS	0.000053	NS
3190100	ADD3	NM_016824.3	NS	0.0000538	NS
4070132	APOBEC3F	NM_001006666.1	NS	0.0000538	NS
6100706	MIS12	NM_024039.1	NS	0.0000538	NS
4640725	TBC1D22A	NM_014346.1	NS	0.0000542	NS
3310441	BMP2K	NM_017593.3	NS	0.000056	NS
4230437	KIAA0090	NM_015047.1	NS	0.0000561	NS
6130040	ZC3HAV1	NM_020119.3	NS	0.0000568	NS
3520035	MGC23280	NM_144683.2	NS	0.0000576	NS
4480364	SYPL1	NM_182715.1	NS	0.0000592	NS
7380291	DIDO1	NM_080796.2	NS	0.0000592	NS
1510669	PCGF2	NM_007144.2	NS	0.0000599	NS
2750242	OGFOD1	NM_018233.2	NS	0.00006	NS
670132	RNF144	NM_014746.2	NS	0.0000606	NS
3130364	C9orf42	NM_138333.3	NS	0.0000619	NS
4780762	PHF16	NM_014735.2	NS	0.0000637	NS
3060438	CA2	NM_000067.1	NS	0.0000673	NS
1070368	PEX11A	NM_003847.1	NS	0.0000694	NS
2370025		NM_001010866.1	NS	0.0000694	NS
3710228	PLOD2	NM_182943.2	NS	0.0000695	NS
4120039	TTC13	NM_024525.2	NS	0.0000702	NS
6040408	CECR5	NM_017829.5	NS	0.0000704	NS
510301	GPD1L	NM_015141.2	NS	0.0000711	NS
1500180	MCTP1	NM_001002796.1	NS	0.0000716	NS
2690093	C20orf121	NM_024331.2	NS	0.000072	NS
2900504	HLA-DOB	NM_002120.2	NS	0.0000734	NS
1050121	CLEC12A	NM_201625.1	NS	0.0000753	NS
6180132	LETMD1	NM_001024668.1	NS	0.0000758	NS
4480523	SRXN1	NM_080725.1	NS	0.0000762	NS
3830328	PPP1R15B	NM_032833.2	NS	0.0000763	NS
2490364	TMEM97	NM_014573.1	NS	0.0000789	NS
4070463	ATG4C	NM_032852.2	NS	0.0000803	NS
3310278	SERGEF	NM_012139.2	NS	0.0000818	NS
1780427	KLF12	NM_016285.2	NS	0.0000824	NS
1940750	DPAGT1	NM_001382.2	NS	0.0000841	NS
